latitude,longitude,AOT_L2_Mean,AOT_L2_Num,AE_L2_Mean,AE_L2_Num,AOT_L3_Merged_Mean,AOT_L3_Merged_Num,AE_L3_Merged_Mean,AE_L3_Merged_Num
-5.9000015,106.5,,0.0,,0.0,,0.0,,0.0
-5.9000015,106.55,,0.0,,0.0,,0.0,,0.0
-5.9000015,106.6,,0.0,,0.0,,0.0,,0.0
-5.9000015,106.65,,0.0,,0.0,,0.0,,0.0
-5.9000015,106.7,,0.0,,0.0,,0.0,,0.0
-5.9000015,106.75,0.5416,1.0,0.9455,1.0,,0.0,,0.0
-5.9000015,106.8,0.542,3.0,0.95149994,3.0,,0.0,,0.0
-5.9000015,106.85,0.4418,9.0,0.99819994,9.0,,0.0,,0.0
-5.9000015,106.9,0.4684,4.0,0.9949,4.0,,0.0,,0.0
-5.9000015,106.95,0.456,5.0,1.0021,5.0,,0.0,,0.0
-5.9000015,107.0,0.4904,4.0,0.9951,4.0,,0.0,,0.0
-5.9500046,106.5,,0.0,,0.0,,0.0,,0.0
-5.9500046,106.55,,0.0,,0.0,,0.0,,0.0
-5.9500046,106.6,,0.0,,0.0,,0.0,,0.0
-5.9500046,106.65,,0.0,,0.0,,0.0,,0.0
-5.9500046,106.7,0.5058,1.0,0.9606,1.0,,0.0,,0.0
-5.9500046,106.75,0.5098,2.0,0.96739995,2.0,,0.0,,0.0
-5.9500046,106.8,0.5162,4.0,0.9762,4.0,,0.0,,0.0
-5.9500046,106.85,0.57739997,5.0,0.964,5.0,,0.0,,0.0
-5.9500046,106.9,0.4892,4.0,0.9922999,4.0,,0.0,,0.0
-5.9500046,106.95,0.44579998,6.0,1.013,6.0,,0.0,,0.0
-5.9500046,107.0,0.5452,2.0,0.9563999,2.0,,0.0,,0.0
-6.0,106.5,,0.0,,0.0,,0.0,,0.0
-6.0,106.55,,0.0,,0.0,,0.0,,0.0
-6.0,106.6,,0.0,,0.0,,0.0,,0.0
-6.0,106.65,,0.0,,0.0,,0.0,,0.0
-6.0,106.7,0.6344,1.0,0.9137,1.0,,0.0,,0.0
-6.0,106.75,0.64739996,2.0,0.9218,2.0,,0.0,,0.0
-6.0,106.8,0.5304,7.0,0.97739995,7.0,,0.0,,0.0
-6.0,106.85,0.4694,5.0,1.0064,5.0,,0.0,,0.0
-6.0,106.9,0.52059996,3.0,0.98539996,3.0,,0.0,,0.0
-6.0,106.95,0.4596,5.0,1.013,5.0,,0.0,,0.0
-6.0,107.0,,0.0,,0.0,,0.0,,0.0
-6.050003,106.5,0.42659998,8.0,1.0381999,8.0,,0.0,,0.0
-6.050003,106.55,0.21239999,9.0,1.0511,9.0,,0.0,,0.0
-6.050003,106.6,0.261,7.0,0.9441,7.0,,0.0,,0.0
-6.050003,106.65,0.324,13.0,1.0303999,13.0,,0.0,,0.0
-6.050003,106.7,0.20099999,10.0,1.0845,10.0,,0.0,,0.0
-6.050003,106.75,0.6222,6.0,0.9613,6.0,,0.0,,0.0
-6.050003,106.8,0.5984,8.0,0.96079993,8.0,,0.0,,0.0
-6.050003,106.85,0.54039997,4.0,0.9835,4.0,,0.0,,0.0
-6.050003,106.9,0.49839997,3.0,1.0019,3.0,,0.0,,0.0
-6.050003,106.95,0.5586,5.0,0.9842,5.0,,0.0,,0.0
-6.050003,107.0,0.6254,1.0,0.8873,1.0,,0.0,,0.0
-6.0999985,106.5,0.1876,10.0,1.0892999,10.0,,0.0,,0.0
-6.0999985,106.55,0.19559999,13.0,1.0814999,12.0,,0.0,,0.0
-6.0999985,106.6,0.1732,14.0,1.0955,14.0,,0.0,,0.0
-6.0999985,106.65,0.1898,18.0,1.0681,18.0,,0.0,,0.0
-6.0999985,106.7,0.1988,12.0,1.0784,11.0,,0.0,,0.0
-6.0999985,106.75,0.8172,1.0,0.3836,1.0,,0.0,,0.0
-6.0999985,106.8,0.5172,1.0,0.7213,1.0,,0.0,,0.0
-6.0999985,106.85,0.49679998,6.0,1.0913,6.0,,0.0,,0.0
-6.0999985,106.9,0.3094,12.0,1.0647999,12.0,,0.0,,0.0
-6.0999985,106.95,0.33879998,4.0,1.0747,4.0,,0.0,,0.0
-6.0999985,107.0,0.51,4.0,1.1522,4.0,,0.0,,0.0
-6.1500015,106.5,,0.0,,0.0,,0.0,,0.0
-6.1500015,106.55,0.1466,5.0,1.0662,5.0,,0.0,,0.0
-6.1500015,106.6,0.14119999,10.0,1.0841,10.0,,0.0,,0.0
-6.1500015,106.65,0.098,7.0,1.0789,7.0,,0.0,,0.0
-6.1500015,106.7,0.113,7.0,1.1054,7.0,,0.0,,0.0
-6.1500015,106.75,0.0112,3.0,1.1579,2.0,,0.0,,0.0
-6.1500015,106.8,0.1954,6.0,1.1093999,6.0,,0.0,,0.0
-6.1500015,106.85,0.24419999,4.0,1.0127,4.0,,0.0,,0.0
-6.1500015,106.9,0.39819998,19.0,0.9793999,19.0,,0.0,,0.0
-6.1500015,106.95,0.3724,10.0,1.0086,10.0,,0.0,,0.0
-6.1500015,107.0,,0.0,,0.0,,0.0,,0.0
-6.2000046,106.5,0.5384,1.0,0.96099997,1.0,,0.0,,0.0
-6.2000046,106.55,0.285,9.0,0.99169993,9.0,,0.0,,0.0
-6.2000046,106.6,0.1732,11.0,0.9583,11.0,,0.0,,0.0
-6.2000046,106.65,0.0984,6.0,1.0996,6.0,,0.0,,0.0
-6.2000046,106.7,0.0053999997,5.0,1.1492,4.0,,0.0,,0.0
-6.2000046,106.75,0.1678,8.0,1.1162,8.0,,0.0,,0.0
-6.2000046,106.8,0.45139998,3.0,0.9217,3.0,,0.0,,0.0
-6.2000046,106.85,0.0876,8.0,1.1482999,8.0,,0.0,,0.0
-6.2000046,106.9,0.592,2.0,0.7954,2.0,,0.0,,0.0
-6.2000046,106.95,0.3222,15.0,1.0952,15.0,,0.0,,0.0
-6.2000046,107.0,0.25419998,1.0,1.0992999,1.0,,0.0,,0.0
-6.25,106.5,0.1846,6.0,1.0572,6.0,,0.0,,0.0
-6.25,106.55,0.28219998,23.0,1.0356,22.0,,0.0,,0.0
-6.25,106.6,0.1626,9.0,1.0824,9.0,,0.0,,0.0
-6.25,106.65,0.16499999,5.0,1.0572,5.0,,0.0,,0.0
-6.25,106.7,0.0802,4.0,1.1151999,4.0,,0.0,,0.0
-6.25,106.75,0.0092,4.0,1.1518999,4.0,,0.0,,0.0
-6.25,106.8,0.2584,2.0,1.0868,2.0,,0.0,,0.0
-6.25,106.85,0.0242,2.0,1.1568999,2.0,,0.0,,0.0
-6.25,106.9,0.2296,5.0,1.074,4.0,,0.0,,0.0
-6.25,106.95,0.252,1.0,1.0834,1.0,,0.0,,0.0
-6.25,107.0,0.39479998,2.0,1.134,2.0,,0.0,,0.0
-6.300003,106.5,0.4172,14.0,1.0182999,14.0,,0.0,,0.0
-6.300003,106.55,0.1274,11.0,1.0410999,11.0,,0.0,,0.0
-6.300003,106.6,0.1326,11.0,1.0888,11.0,,0.0,,0.0
-6.300003,106.65,0.085599996,7.0,1.1202999,7.0,,0.0,,0.0
-6.300003,106.7,0.15699999,3.0,1.0882,3.0,,0.0,,0.0
-6.300003,106.75,0.4446,9.0,1.0178,9.0,,0.0,,0.0
-6.300003,106.8,0.0468,5.0,1.1356,5.0,,0.0,,0.0
-6.300003,106.85,0.124,1.0,1.1243,1.0,,0.0,,0.0
-6.300003,106.9,0.22659999,2.0,1.1078,2.0,,0.0,,0.0
-6.300003,106.95,0.0378,2.0,1.1525999,2.0,,0.0,,0.0
-6.300003,107.0,0.27899998,1.0,1.0676,1.0,,0.0,,0.0
-6.3499985,106.5,0.065,3.0,1.055,3.0,,0.0,,0.0
-6.3499985,106.55,0.2356,21.0,0.9949,19.0,,0.0,,0.0
-6.3499985,106.6,0.46339998,15.0,1.0583,15.0,,0.0,,0.0
-6.3499985,106.65,0.2962,3.0,1.104,3.0,,0.0,,0.0
-6.3499985,106.7,0.41939998,3.0,1.0359,3.0,,0.0,,0.0
-6.3499985,106.75,0.2102,13.0,1.1151999,13.0,,0.0,,0.0
-6.3499985,106.8,0.1626,3.0,1.073,3.0,,0.0,,0.0
-6.3499985,106.85,0.1766,5.0,1.1107999,5.0,,0.0,,0.0
-6.3499985,106.9,0.35439998,1.0,1.0705999,1.0,,0.0,,0.0
-6.3499985,106.95,0.41,1.0,1.0799999,1.0,,0.0,,0.0
-6.3499985,107.0,,0.0,,0.0,,0.0,,0.0
-6.4000015,106.5,0.4376,11.0,0.9649999,10.0,,0.0,,0.0
-6.4000015,106.55,0.2674,17.0,1.0045999,17.0,,0.0,,0.0
-6.4000015,106.6,0.2676,5.0,1.0453,5.0,,0.0,,0.0
-6.4000015,106.65,0.18439999,9.0,1.0805,9.0,,0.0,,0.0
-6.4000015,106.7,0.0532,6.0,1.0921999,6.0,,0.0,,0.0
-6.4000015,106.75,0.1472,3.0,1.0797,3.0,,0.0,,0.0
-6.4000015,106.8,0.1388,3.0,1.0989,3.0,,0.0,,0.0
-6.4000015,106.85,0.2022,3.0,1.0604999,3.0,,0.0,,0.0
-6.4000015,106.9,0.0894,1.0,1.1631999,1.0,,0.0,,0.0
-6.4000015,106.95,0.5208,1.0,0.9778,1.0,,0.0,,0.0
-6.4000015,107.0,,0.0,,0.0,,0.0,,0.0
-6.4500046,106.5,0.1356,4.0,1.0275999,3.0,,0.0,,0.0
-6.4500046,106.55,0.1352,4.0,1.0123999,4.0,,0.0,,0.0
-6.4500046,106.6,0.2958,2.0,0.9592999,2.0,,0.0,,0.0
-6.4500046,106.65,0.2732,13.0,1.002,13.0,,0.0,,0.0
-6.4500046,106.7,0.1944,1.0,1.0458,1.0,,0.0,,0.0
-6.4500046,106.75,0.3856,2.0,0.9692,2.0,,0.0,,0.0
-6.4500046,106.8,0.129,5.0,1.0741999,5.0,,0.0,,0.0
-6.4500046,106.85,0.3288,4.0,1.0490999,4.0,,0.0,,0.0
-6.4500046,106.9,0.317,1.0,1.1084,1.0,,0.0,,0.0
-6.4500046,106.95,,0.0,,0.0,,0.0,,0.0
-6.4500046,107.0,,0.0,,0.0,,0.0,,0.0
