latitude,longitude,AOT_L2_Mean,AOT_L2_Num,AE_L2_Mean,AE_L2_Num,AOT_L3_Merged_Mean,AOT_L3_Merged_Num,AE_L3_Merged_Mean,AE_L3_Merged_Num
-5.9000015,106.5,0.41959998,29.0,1.1726999,29.0,0.3744,3.0,,0.0
-5.9000015,106.55,0.4094,28.0,1.1823,28.0,0.3892,3.0,,0.0
-5.9000015,106.6,0.4192,27.0,1.1793,27.0,0.41799998,3.0,1.0043,1.0
-5.9000015,106.65,0.42859998,21.0,1.1887,21.0,0.4382,3.0,1.0131999,1.0
-5.9000015,106.7,0.50159997,21.0,1.2021999,21.0,0.475,2.0,,0.0
-5.9000015,106.75,0.5426,19.0,1.1925,19.0,0.49179998,2.0,0.6681,2.0
-5.9000015,106.8,0.5252,17.0,1.1967,17.0,0.5082,2.0,0.76399994,2.0
-5.9000015,106.85,0.52279997,16.0,1.2027999,16.0,0.5164,2.0,0.5978999,2.0
-5.9000015,106.9,0.5392,15.0,1.2131,15.0,0.5234,1.0,,0.0
-5.9000015,106.95,0.5466,14.0,1.2159,14.0,0.5194,1.0,1.1978999,1.0
-5.9000015,107.0,0.565,12.0,1.2125,12.0,0.5158,1.0,0.2683,1.0
-5.9500046,106.5,0.46199998,23.0,1.1978999,23.0,0.3542,3.0,0.039600015,3.0
-5.9500046,106.55,0.37719998,21.0,1.1802,21.0,0.3706,3.0,0.5267,3.0
-5.9500046,106.6,0.39699998,22.0,1.1672,22.0,0.405,3.0,0.7049,3.0
-5.9500046,106.65,0.4394,19.0,1.1870999,19.0,0.4274,3.0,0.7767,3.0
-5.9500046,106.7,0.48979998,17.0,1.1940999,17.0,0.4502,3.0,0.72949994,3.0
-5.9500046,106.75,0.5068,16.0,1.1988,16.0,0.4962,2.0,1.0776,2.0
-5.9500046,106.8,0.4962,16.0,1.2131,16.0,0.5126,2.0,0.7638,2.0
-5.9500046,106.85,0.6446,14.0,1.2487999,14.0,0.52599996,2.0,,0.0
-5.9500046,106.9,0.5898,9.0,1.2313,9.0,0.534,1.0,0.6338999,1.0
-5.9500046,106.95,0.66499996,7.0,1.2327,7.0,0.52779996,1.0,,0.0
-5.9500046,107.0,1.0424,1.0,1.3276,1.0,0.51519996,1.0,,0.0
-6.0,106.5,0.48299998,20.0,1.1424999,20.0,0.3328,3.0,,0.0
-6.0,106.55,0.464,17.0,1.1134,17.0,0.3478,3.0,0.14129996,2.0
-6.0,106.6,0.4854,16.0,1.1135,16.0,0.3602,3.0,-0.34780002,1.0
-6.0,106.65,0.722,15.0,0.8500999,15.0,0.3946,3.0,,0.0
-6.0,106.7,0.5254,16.0,1.2117,16.0,0.43359998,3.0,0.54419994,1.0
-6.0,106.75,0.52919996,15.0,1.1891999,15.0,0.4552,3.0,0.8486999,2.0
-6.0,106.8,0.5494,11.0,1.1908,11.0,0.5158,2.0,0.87029994,2.0
-6.0,106.85,0.5708,10.0,1.1926999,10.0,,0.0,,0.0
-6.0,106.9,0.724,4.0,1.2148999,4.0,,0.0,,0.0
-6.0,106.95,0.8206,6.0,1.2502999,6.0,,0.0,,0.0
-6.0,107.0,0.70339996,26.0,1.1633999,26.0,,0.0,,0.0
-6.050003,106.5,0.3204,32.0,1.2087,32.0,0.2954,3.0,,0.0
-6.050003,106.55,0.67399997,33.0,1.1184,33.0,0.3094,2.0,,0.0
-6.050003,106.6,0.64379996,21.0,1.0429,21.0,0.318,3.0,,0.0
-6.050003,106.65,0.6168,23.0,1.1732,23.0,0.3662,3.0,,0.0
-6.050003,106.7,0.4962,36.0,1.2915,36.0,0.4026,3.0,,0.0
-6.050003,106.75,0.64419997,14.0,1.1413,14.0,0.4376,3.0,,0.0
-6.050003,106.8,0.61219996,11.0,1.1642,11.0,,0.0,,0.0
-6.050003,106.85,0.7,12.0,1.1499,12.0,,0.0,,0.0
-6.050003,106.9,1.0314,6.0,1.1818999,6.0,,0.0,,0.0
-6.050003,106.95,0.92499995,4.0,1.2147,4.0,,0.0,,0.0
-6.050003,107.0,0.466,7.0,1.1918,7.0,,0.0,,0.0
-6.0999985,106.5,0.47959998,26.0,1.2923,26.0,0.16839999,1.0,,0.0
-6.0999985,106.55,0.4086,16.0,1.2615,16.0,0.1882,1.0,,0.0
-6.0999985,106.6,0.4272,19.0,1.0877,19.0,0.20359999,1.0,,0.0
-6.0999985,106.65,0.574,29.0,1.1990999,29.0,0.2346,1.0,,0.0
-6.0999985,106.7,0.5732,28.0,1.1870999,28.0,,0.0,,0.0
-6.0999985,106.75,0.4078,25.0,1.0541999,24.0,,0.0,,0.0
-6.0999985,106.8,0.66139996,13.0,0.99599993,12.0,,0.0,,0.0
-6.0999985,106.85,0.5688,8.0,1.2669,8.0,,0.0,,0.0
-6.0999985,106.9,0.48259997,11.0,1.2516999,11.0,,0.0,,0.0
-6.0999985,106.95,0.64959997,9.0,1.189,9.0,,0.0,,0.0
-6.0999985,107.0,0.81839997,7.0,1.3646,7.0,,0.0,,0.0
-6.1500015,106.5,0.3556,22.0,1.2602999,22.0,0.1688,1.0,,0.0
-6.1500015,106.55,0.308,10.0,1.1982,10.0,0.17799999,1.0,,0.0
-6.1500015,106.6,0.3376,19.0,1.1403999,18.0,,0.0,,0.0
-6.1500015,106.65,0.4026,15.0,1.2357999,15.0,0.2408,1.0,,0.0
-6.1500015,106.7,0.303,18.0,1.2166,18.0,0.2244,1.0,,0.0
-6.1500015,106.75,0.2582,16.0,1.2192,16.0,,0.0,,0.0
-6.1500015,106.8,0.49719998,20.0,1.2942,20.0,,0.0,,0.0
-6.1500015,106.85,0.6358,19.0,1.1133,19.0,,0.0,,0.0
-6.1500015,106.9,0.38939998,8.0,1.2447,8.0,,0.0,,0.0
-6.1500015,106.95,0.5026,9.0,1.3711,9.0,,0.0,,0.0
-6.1500015,107.0,0.57,14.0,1.291,14.0,,0.0,,0.0
-6.2000046,106.5,0.2014,3.0,1.1543,3.0,,0.0,,0.0
-6.2000046,106.55,0.2478,17.0,1.1881,17.0,,0.0,,0.0
-6.2000046,106.6,0.292,15.0,1.1994,15.0,,0.0,,0.0
-6.2000046,106.65,0.33159998,13.0,1.29,13.0,,0.0,,0.0
-6.2000046,106.7,0.338,13.0,1.2426,13.0,,0.0,,0.0
-6.2000046,106.75,0.376,10.0,1.2530999,10.0,,0.0,,0.0
-6.2000046,106.8,0.338,7.0,1.2249999,7.0,,0.0,,0.0
-6.2000046,106.85,0.2762,10.0,1.2258999,10.0,,0.0,,0.0
-6.2000046,106.9,0.2748,5.0,1.2293999,5.0,,0.0,,0.0
-6.2000046,106.95,0.4734,10.0,1.2911999,10.0,,0.0,,0.0
-6.2000046,107.0,0.502,9.0,1.2391,9.0,,0.0,,0.0
-6.25,106.5,0.2838,17.0,1.1920999,17.0,,0.0,,0.0
-6.25,106.55,0.1854,16.0,1.2182,16.0,,0.0,,0.0
-6.25,106.6,0.2944,14.0,1.2104,14.0,,0.0,,0.0
-6.25,106.65,0.3152,15.0,1.2401999,15.0,0.31599998,1.0,,0.0
-6.25,106.7,0.295,13.0,1.2256,13.0,0.3304,1.0,,0.0
-6.25,106.75,0.3308,12.0,1.2493999,12.0,,0.0,,0.0
-6.25,106.8,0.27719998,11.0,1.24,11.0,,0.0,,0.0
-6.25,106.85,0.2714,10.0,1.2443,10.0,,0.0,,0.0
-6.25,106.9,0.4026,8.0,1.2621,8.0,,0.0,,0.0
-6.25,106.95,0.3448,8.0,1.2294999,8.0,,0.0,,0.0
-6.25,107.0,0.3742,10.0,1.2363,10.0,,0.0,,0.0
-6.300003,106.5,0.3094,20.0,1.3021,20.0,,0.0,,0.0
-6.300003,106.55,0.347,17.0,1.3242999,17.0,,0.0,,0.0
-6.300003,106.6,0.39139998,14.0,1.3059,14.0,,0.0,,0.0
-6.300003,106.65,0.317,16.0,1.3,16.0,0.3238,1.0,,0.0
-6.300003,106.7,0.33159998,19.0,1.2254,19.0,0.336,1.0,,0.0
-6.300003,106.75,0.28939998,11.0,1.2606,11.0,,0.0,,0.0
-6.300003,106.8,0.3782,10.0,1.2441,10.0,,0.0,,0.0
-6.300003,106.85,0.38819999,17.0,1.2435,17.0,,0.0,,0.0
-6.300003,106.9,0.3876,7.0,1.2772,7.0,,0.0,,0.0
-6.300003,106.95,0.346,6.0,1.2133,6.0,,0.0,,0.0
-6.300003,107.0,0.4856,8.0,1.2386,8.0,,0.0,,0.0
-6.3499985,106.5,0.35459998,15.0,1.2857,15.0,,0.0,,0.0
-6.3499985,106.55,0.34219998,16.0,1.3008,16.0,,0.0,,0.0
-6.3499985,106.6,0.3992,22.0,1.3040999,22.0,,0.0,,0.0
-6.3499985,106.65,0.427,19.0,1.3155999,19.0,0.3346,1.0,,0.0
-6.3499985,106.7,0.433,14.0,1.3723999,14.0,,0.0,,0.0
-6.3499985,106.75,0.36479998,14.0,1.2642,14.0,,0.0,,0.0
-6.3499985,106.8,0.43019998,12.0,1.2528,12.0,,0.0,,0.0
-6.3499985,106.85,0.4752,12.0,1.2588999,12.0,,0.0,,0.0
