latitude,longitude,AOT_L2_Mean,AOT_L2_Num,AE_L2_Mean,AE_L2_Num,AOT_L3_Merged_Mean,AOT_L3_Merged_Num,AE_L3_Merged_Mean,AE_L3_Merged_Num
-5.9000015,106.5,0.829,23.0,1.3856,23.0,0.5582,1.0,,0.0
-5.9000015,106.55,0.6282,20.0,1.2422999,20.0,0.51019996,1.0,,0.0
-5.9000015,106.6,0.546,19.0,1.2135999,19.0,0.5074,2.0,,0.0
-5.9000015,106.65,0.5144,21.0,1.212,21.0,0.4872,2.0,,0.0
-5.9000015,106.7,0.49699998,23.0,1.1715,23.0,0.47,2.0,,0.0
-5.9000015,106.75,0.5214,31.0,1.2013999,31.0,0.419,3.0,0.5662,2.0
-5.9000015,106.8,0.5056,31.0,1.196,31.0,0.41079998,3.0,0.2913,2.0
-5.9000015,106.85,0.48279998,29.0,1.1978999,29.0,0.452,4.0,-0.2112,1.0
-5.9000015,106.9,0.4992,38.0,1.2274,38.0,0.44579998,4.0,0.6797,1.0
-5.9000015,106.95,0.47779998,32.0,1.1999999,32.0,0.4684,6.0,0.99109995,3.0
-5.9000015,107.0,0.482,39.0,1.2148999,39.0,0.428,7.0,0.9244,2.0
-5.9500046,106.5,0.7236,28.0,1.3334,28.0,0.5032,2.0,,0.0
-5.9500046,106.55,0.5906,18.0,1.2113,18.0,0.47599998,2.0,-0.08310002,2.0
-5.9500046,106.6,0.55259997,18.0,1.1896,18.0,0.47559997,2.0,0.6323,1.0
-5.9500046,106.65,0.5232,20.0,1.2061,20.0,0.46739998,2.0,0.33319998,2.0
-5.9500046,106.7,0.5096,21.0,1.2045,21.0,0.422,3.0,0.4156,2.0
-5.9500046,106.75,0.509,30.0,1.1845,30.0,0.4152,3.0,0.70439994,2.0
-5.9500046,106.8,0.49499997,27.0,1.2026999,27.0,0.4154,3.0,0.5784,2.0
-5.9500046,106.85,0.626,33.0,1.2863,33.0,0.4164,3.0,,0.0
-5.9500046,106.9,0.49719998,33.0,1.2183,33.0,0.4542,4.0,0.49609995,2.0
-5.9500046,106.95,0.4782,24.0,1.2227,24.0,0.4028,5.0,0.9958999,2.0
-5.9500046,107.0,0.88799995,14.0,1.4963,14.0,0.405,6.0,,0.0
-6.0,106.5,0.7194,31.0,1.3367,31.0,0.41939998,3.0,0.213,1.0
-6.0,106.55,0.648,27.0,1.2840999,27.0,0.4244,3.0,-0.14520001,2.0
-6.0,106.6,0.592,27.0,1.2269,27.0,0.4556,2.0,-0.022300005,2.0
-6.0,106.65,0.5534,24.0,1.1805999,24.0,0.4612,2.0,0.18689996,2.0
-6.0,106.7,0.536,25.0,1.1802,25.0,0.41399997,3.0,,0.0
-6.0,106.75,0.49859998,26.0,1.2083,26.0,0.417,3.0,0.29109997,3.0
-6.0,106.8,0.5384,29.0,1.2182,29.0,0.4134,3.0,0.3452,3.0
-6.0,106.85,0.5376,29.0,1.2436999,29.0,0.4192,3.0,0.2543,3.0
-6.0,106.9,0.55219996,31.0,1.2545999,31.0,0.3394,3.0,-0.040800005,2.0
-6.0,106.95,0.5742,29.0,1.2845999,29.0,0.30539998,2.0,,0.0
