datetime,Latitude,Longitude,AOD
2022-01-01,-6.300000000000001,106.9,0.47219998
2022-01-03,-6.300000000000001,106.9,0.1672
2022-01-04,-6.300000000000001,106.9,0.39299998
2022-01-05,-6.300000000000001,106.9,0.2784
2022-01-07,-6.300000000000001,106.9,0.2452
2022-01-12,-6.300000000000001,106.9,0.3788
2022-01-17,-6.300000000000001,106.9,0.2136
2022-01-21,-6.300000000000001,106.9,0.0866
2022-01-23,-6.300000000000001,106.9,0.1156
2022-01-24,-6.300000000000001,106.9,0.2052
2022-01-25,-6.300000000000001,106.9,0.387
2022-01-27,-6.300000000000001,106.9,0.895
2022-01-29,-6.300000000000001,106.9,0.2562
2022-01-31,-6.300000000000001,106.9,0.2528
2022-03-03,-6.300000000000001,106.9,0.294
2022-03-05,-6.300000000000001,106.9,0.2006
2022-03-08,-6.300000000000001,106.9,0.2288
2022-03-09,-6.300000000000001,106.9,0.14899999
2022-03-11,-6.300000000000001,106.9,0.2996
2022-03-12,-6.300000000000001,106.9,0.0274
2022-03-14,-6.300000000000001,106.9,0.0802
2022-03-16,-6.300000000000001,106.9,0.0844
2022-03-17,-6.300000000000001,106.9,0.6398
2022-03-19,-6.300000000000001,106.9,0.0484
2022-03-20,-6.300000000000001,106.9,0.0426
2022-03-23,-6.300000000000001,106.9,0.2582
2022-03-24,-6.300000000000001,106.9,0.1762
2022-03-27,-6.300000000000001,106.9,0.161
2022-03-28,-6.300000000000001,106.9,0.2654
2022-03-29,-6.300000000000001,106.9,0.782
2022-03-31,-6.300000000000001,106.9,0.34239998
2022-04-02,-6.300000000000001,106.9,0.081
2022-04-03,-6.300000000000001,106.9,0.3638
2022-04-04,-6.300000000000001,106.9,0.3516
2022-04-05,-6.300000000000001,106.9,0.4048
2022-04-06,-6.300000000000001,106.9,0.0594
2022-04-07,-6.300000000000001,106.9,0.106199995
2022-04-08,-6.300000000000001,106.9,0.3954
2022-04-09,-6.300000000000001,106.9,0.1882
2022-04-10,-6.300000000000001,106.9,0.40559998
2022-04-11,-6.300000000000001,106.9,0.4964
2022-04-12,-6.300000000000001,106.9,0.9446
2022-04-13,-6.300000000000001,106.9,0.3376
2022-04-14,-6.300000000000001,106.9,0.0742
2022-04-15,-6.300000000000001,106.9,0.5638
2022-04-16,-6.300000000000001,106.9,0.60859996
