datetime,Latitude,Longitude,AOD
2022-01-01,-6.25,106.80000000000001,0.47
2022-01-03,-6.25,106.80000000000001,0.1748
2022-01-05,-6.25,106.80000000000001,0.4364
2022-01-06,-6.25,106.80000000000001,0.5848
2022-01-07,-6.25,106.80000000000001,0.1484
2022-01-08,-6.25,106.80000000000001,0.075399995
2022-01-19,-6.25,106.80000000000001,0.38959998
2022-01-21,-6.25,106.80000000000001,0.0964
2022-01-22,-6.25,106.80000000000001,0.014599999
2022-01-23,-6.25,106.80000000000001,0.2276
2022-01-24,-6.25,106.80000000000001,0.2298
2022-01-25,-6.25,106.80000000000001,0.3908
2022-01-27,-6.25,106.80000000000001,0.81079996
2022-01-28,-6.25,106.80000000000001,0.426
2022-01-29,-6.25,106.80000000000001,0.4702
2022-01-30,-6.25,106.80000000000001,0.8606
2022-02-01,-6.25,106.80000000000001,0.7032
2022-02-03,-6.25,106.80000000000001,0.22659999
2022-02-04,-6.25,106.80000000000001,0.471
2022-02-09,-6.25,106.80000000000001,0.4244
2022-02-16,-6.25,106.80000000000001,0.1628
2022-02-17,-6.25,106.80000000000001,0.509
2022-02-20,-6.25,106.80000000000001,0.4858
2022-02-21,-6.25,106.80000000000001,0.5176
2022-02-22,-6.25,106.80000000000001,0.0682
2022-02-26,-6.25,106.80000000000001,0.5376
2022-02-27,-6.25,106.80000000000001,0.096599996
2022-03-02,-6.25,106.80000000000001,0.34739998
2022-03-05,-6.25,106.80000000000001,0.3674
2022-03-08,-6.25,106.80000000000001,0.4648
2022-03-10,-6.25,106.80000000000001,1.938
2022-03-11,-6.25,106.80000000000001,0.4886
2022-03-12,-6.25,106.80000000000001,0.275
2022-03-13,-6.25,106.80000000000001,0.28219998
2022-03-14,-6.25,106.80000000000001,0.2278
2022-03-16,-6.25,106.80000000000001,0.3576
2022-03-17,-6.25,106.80000000000001,1.2508
2022-03-19,-6.25,106.80000000000001,1.0058
2022-03-20,-6.25,106.80000000000001,0.3798
2022-03-21,-6.25,106.80000000000001,0.066
2022-03-24,-6.25,106.80000000000001,0.831
2022-03-27,-6.25,106.80000000000001,0.19999999
2022-03-29,-6.25,106.80000000000001,0.84739995
2022-03-31,-6.25,106.80000000000001,0.47419998
2022-04-02,-6.25,106.80000000000001,0.2786
2022-04-03,-6.25,106.80000000000001,0.24419999
2022-04-04,-6.25,106.80000000000001,0.2384
2022-04-05,-6.25,106.80000000000001,0.3726
2022-04-06,-6.25,106.80000000000001,0.124
2022-04-07,-6.25,106.80000000000001,0.5926
2022-04-08,-6.25,106.80000000000001,0.645
2022-04-09,-6.25,106.80000000000001,0.3588
2022-04-10,-6.25,106.80000000000001,0.5998
2022-04-11,-6.25,106.80000000000001,0.3592
2022-04-12,-6.25,106.80000000000001,0.9134
2022-04-13,-6.25,106.80000000000001,0.548
2022-04-14,-6.25,106.80000000000001,0.1866
2022-04-15,-6.25,106.80000000000001,0.69519997
2022-04-16,-6.25,106.80000000000001,0.4062
2022-04-17,-6.25,106.80000000000001,1.1072
2022-04-19,-6.25,106.80000000000001,0.6526
