datetime,Latitude,Longitude,AOD
2022-01-01,-6.5,106.5,0.0
2022-01-01,-6.5,106.55,0.0
2022-01-01,-6.5,106.6,0.0
2022-01-01,-6.5,106.65,0.0
2022-01-01,-6.5,106.7,0.0
2022-01-01,-6.5,106.75,0.523
2022-01-01,-6.5,106.8,0.0
2022-01-01,-6.5,106.85,0.0
2022-01-01,-6.5,106.9,0.0
2022-01-01,-6.5,106.95,0.4998
2022-01-01,-6.5,107.0,0.0
2022-01-01,-6.45,106.5,0.0
2022-01-01,-6.45,106.55,0.0
2022-01-01,-6.45,106.6,0.0
2022-01-01,-6.45,106.65,0.3444
2022-01-01,-6.45,106.7,0.3514
2022-01-01,-6.45,106.75,0.0
2022-01-01,-6.45,106.8,0.0
2022-01-01,-6.45,106.85,0.0
2022-01-01,-6.45,106.9,0.0
2022-01-01,-6.45,106.95,0.34199998
2022-01-01,-6.45,107.0,0.38279998
2022-01-01,-6.4,106.5,0.0
2022-01-01,-6.4,106.55,0.0
2022-01-01,-6.4,106.6,0.0
2022-01-01,-6.4,106.65,0.0
2022-01-01,-6.4,106.7,0.0
2022-01-01,-6.4,106.75,0.3748
2022-01-01,-6.4,106.8,0.0
2022-01-01,-6.4,106.85,0.0
2022-01-01,-6.4,106.9,0.34059998
2022-01-01,-6.4,106.95,0.3328
2022-01-01,-6.4,107.0,0.385
2022-01-01,-6.35,106.5,0.0
2022-01-01,-6.35,106.55,0.0
2022-01-01,-6.35,106.6,0.0
2022-01-01,-6.35,106.65,0.0
2022-01-01,-6.35,106.7,0.0
2022-01-01,-6.35,106.75,0.0
2022-01-01,-6.35,106.8,0.0
2022-01-01,-6.35,106.85,0.0
2022-01-01,-6.35,106.9,0.0
2022-01-01,-6.35,106.95,0.0
2022-01-01,-6.35,107.0,0.0
2022-01-01,-6.3,106.5,0.0
2022-01-01,-6.3,106.55,0.0
2022-01-01,-6.3,106.6,0.0
2022-01-01,-6.3,106.65,0.0
2022-01-01,-6.3,106.7,0.0
2022-01-01,-6.3,106.75,0.0
2022-01-01,-6.3,106.8,0.0
2022-01-01,-6.3,106.85,0.0
2022-01-01,-6.3,106.9,0.0
2022-01-01,-6.3,106.95,0.0
2022-01-01,-6.3,107.0,0.0
2022-01-01,-6.25,106.5,0.0
2022-01-01,-6.25,106.55,0.0
2022-01-01,-6.25,106.6,0.0
2022-01-01,-6.25,106.65,0.0
2022-01-01,-6.25,106.7,0.2954
2022-01-01,-6.25,106.75,0.0
2022-01-01,-6.25,106.8,0.0
2022-01-01,-6.25,106.85,0.0
2022-01-01,-6.25,106.9,0.49359998
2022-01-01,-6.25,106.95,0.0
2022-01-01,-6.25,107.0,0.4448
2022-01-01,-6.2,106.5,0.3504
2022-01-01,-6.2,106.55,0.0
2022-01-01,-6.2,106.6,0.0
2022-01-01,-6.2,106.65,0.389
2022-01-01,-6.2,106.7,0.3496
2022-01-01,-6.2,106.75,0.3712
2022-01-01,-6.2,106.8,0.0
2022-01-01,-6.2,106.85,0.0
2022-01-01,-6.2,106.9,0.5112
2022-01-01,-6.2,106.95,0.4456
2022-01-01,-6.2,107.0,0.48979998
2022-01-01,-6.15,106.5,0.2974
2022-01-01,-6.15,106.55,0.0
2022-01-01,-6.15,106.6,0.0
2022-01-01,-6.15,106.65,0.2832
2022-01-01,-6.15,106.7,0.2592
2022-01-01,-6.15,106.75,0.3748
2022-01-01,-6.15,106.8,0.0
2022-01-01,-6.15,106.85,0.0
2022-01-01,-6.15,106.9,0.401
2022-01-01,-6.15,106.95,0.0
2022-01-01,-6.15,107.0,0.47219998
2022-01-01,-6.1,106.5,0.0
2022-01-01,-6.1,106.55,0.0
2022-01-01,-6.1,106.6,0.0
2022-01-01,-6.1,106.65,0.0
2022-01-01,-6.1,106.7,0.0
2022-01-01,-6.1,106.75,0.0
2022-01-01,-6.1,106.8,0.0
2022-01-01,-6.1,106.85,0.0
2022-01-01,-6.1,106.9,0.0
2022-01-01,-6.1,106.95,0.0
2022-01-01,-6.1,107.0,0.0
2022-01-01,-6.05,106.5,0.0
2022-01-01,-6.05,106.55,0.0
2022-01-01,-6.05,106.6,0.0
2022-01-01,-6.05,106.65,0.0
2022-01-01,-6.05,106.7,0.0
2022-01-01,-6.05,106.75,0.0
2022-01-01,-6.05,106.8,0.0
2022-01-01,-6.05,106.85,0.0
2022-01-01,-6.05,106.9,0.0
2022-01-01,-6.05,106.95,0.0
2022-01-01,-6.05,107.0,0.0
2022-01-01,-6.0,106.5,0.0
2022-01-01,-6.0,106.55,0.0
2022-01-01,-6.0,106.6,0.0
2022-01-01,-6.0,106.65,0.0
2022-01-01,-6.0,106.7,0.0
2022-01-01,-6.0,106.75,0.0
2022-01-01,-6.0,106.8,0.0
2022-01-01,-6.0,106.85,0.0
2022-01-01,-6.0,106.9,0.0
2022-01-01,-6.0,106.95,0.0
2022-01-01,-6.0,107.0,0.593
2022-01-02,-6.5,106.5,0.2714
2022-01-02,-6.5,106.55,0.0
2022-01-02,-6.5,106.6,0.0
2022-01-02,-6.5,106.65,0.55
2022-01-02,-6.5,106.7,0.45619997
2022-01-02,-6.5,106.75,0.0
2022-01-02,-6.5,106.8,0.0
2022-01-02,-6.5,106.85,0.0
2022-01-02,-6.5,106.9,0.0
2022-01-02,-6.5,106.95,1.1674
2022-01-02,-6.5,107.0,0.9618
2022-01-02,-6.45,106.5,0.40719998
2022-01-02,-6.45,106.55,0.0
2022-01-02,-6.45,106.6,0.0
2022-01-02,-6.45,106.65,0.4362
2022-01-02,-6.45,106.7,0.0
2022-01-02,-6.45,106.75,0.0
2022-01-02,-6.45,106.8,0.0
2022-01-02,-6.45,106.85,0.0
2022-01-02,-6.45,106.9,0.0
2022-01-02,-6.45,106.95,0.0
2022-01-02,-6.45,107.0,0.0
2022-01-02,-6.4,106.5,0.491
2022-01-02,-6.4,106.55,0.0
2022-01-02,-6.4,106.6,0.0
2022-01-02,-6.4,106.65,0.0
2022-01-02,-6.4,106.7,0.0
2022-01-02,-6.4,106.75,0.0
2022-01-02,-6.4,106.8,0.0
2022-01-02,-6.4,106.85,0.0
2022-01-02,-6.4,106.9,0.0
2022-01-02,-6.4,106.95,0.0
2022-01-02,-6.4,107.0,0.0
2022-01-02,-6.35,106.5,0.0
2022-01-02,-6.35,106.55,0.0
2022-01-02,-6.35,106.6,0.0
2022-01-02,-6.35,106.65,0.0
2022-01-02,-6.35,106.7,0.0
2022-01-02,-6.35,106.75,0.0
2022-01-02,-6.35,106.8,0.0
2022-01-02,-6.35,106.85,0.0
2022-01-02,-6.35,106.9,0.0
2022-01-02,-6.35,106.95,0.0
2022-01-02,-6.35,107.0,0.0
2022-01-02,-6.3,106.5,0.0
2022-01-02,-6.3,106.55,0.0
2022-01-02,-6.3,106.6,0.0
2022-01-02,-6.3,106.65,0.0
2022-01-02,-6.3,106.7,0.0
2022-01-02,-6.3,106.75,0.0
2022-01-02,-6.3,106.8,0.0
2022-01-02,-6.3,106.85,0.0
2022-01-02,-6.3,106.9,0.0
2022-01-02,-6.3,106.95,0.0
2022-01-02,-6.3,107.0,0.0
2022-01-02,-6.25,106.5,0.0
2022-01-02,-6.25,106.55,0.0
2022-01-02,-6.25,106.6,0.0
2022-01-02,-6.25,106.65,0.0
2022-01-02,-6.25,106.7,0.0
2022-01-02,-6.25,106.75,0.0
2022-01-02,-6.25,106.8,0.0
2022-01-02,-6.25,106.85,0.0
2022-01-02,-6.25,106.9,0.0
2022-01-02,-6.25,106.95,0.0
2022-01-02,-6.25,107.0,0.0
2022-01-02,-6.2,106.5,0.0
2022-01-02,-6.2,106.55,0.0
2022-01-02,-6.2,106.6,0.0
2022-01-02,-6.2,106.65,0.0
2022-01-02,-6.2,106.7,0.0
2022-01-02,-6.2,106.75,0.0
2022-01-02,-6.2,106.8,0.0
2022-01-02,-6.2,106.85,0.0
2022-01-02,-6.2,106.9,0.0
2022-01-02,-6.2,106.95,0.0
2022-01-02,-6.2,107.0,0.0
2022-01-02,-6.15,106.5,0.0
2022-01-02,-6.15,106.55,0.0
2022-01-02,-6.15,106.6,0.0
2022-01-02,-6.15,106.65,0.0
2022-01-02,-6.15,106.7,0.0
2022-01-02,-6.15,106.75,0.0
2022-01-02,-6.15,106.8,0.0
2022-01-02,-6.15,106.85,0.0
2022-01-02,-6.15,106.9,0.0
2022-01-02,-6.15,106.95,0.0
2022-01-02,-6.15,107.0,0.0
2022-01-02,-6.1,106.5,0.0
2022-01-02,-6.1,106.55,0.0
2022-01-02,-6.1,106.6,0.0
2022-01-02,-6.1,106.65,0.0
2022-01-02,-6.1,106.7,0.0
2022-01-02,-6.1,106.75,0.0
2022-01-02,-6.1,106.8,0.0
2022-01-02,-6.1,106.85,0.0
2022-01-02,-6.1,106.9,0.0
2022-01-02,-6.1,106.95,0.0
2022-01-02,-6.1,107.0,0.0
2022-01-02,-6.05,106.5,0.0
2022-01-02,-6.05,106.55,0.0
2022-01-02,-6.05,106.6,0.0
2022-01-02,-6.05,106.65,0.0
2022-01-02,-6.05,106.7,0.0
2022-01-02,-6.05,106.75,0.0
2022-01-02,-6.05,106.8,0.0
2022-01-02,-6.05,106.85,0.0
2022-01-02,-6.05,106.9,0.0
2022-01-02,-6.05,106.95,0.0
2022-01-02,-6.05,107.0,0.0
2022-01-02,-6.0,106.5,0.0
2022-01-02,-6.0,106.55,0.0
2022-01-02,-6.0,106.6,0.0
2022-01-02,-6.0,106.65,0.0
2022-01-02,-6.0,106.7,0.0
2022-01-02,-6.0,106.75,0.0
2022-01-02,-6.0,106.8,0.0
2022-01-02,-6.0,106.85,0.0
2022-01-02,-6.0,106.9,0.0
2022-01-02,-6.0,106.95,0.0
2022-01-02,-6.0,107.0,0.8422
2022-01-03,-6.5,106.5,0.076
2022-01-03,-6.5,106.55,0.0
2022-01-03,-6.5,106.6,0.0
2022-01-03,-6.5,106.65,0.18959999
2022-01-03,-6.5,106.7,0.18959999
2022-01-03,-6.5,106.75,0.1928
2022-01-03,-6.5,106.8,0.0
2022-01-03,-6.5,106.85,0.0
2022-01-03,-6.5,106.9,0.1206
2022-01-03,-6.5,106.95,0.14479999
2022-01-03,-6.5,107.0,0.28419998
2022-01-03,-6.45,106.5,0.1108
2022-01-03,-6.45,106.55,0.0
2022-01-03,-6.45,106.6,0.0
2022-01-03,-6.45,106.65,0.3936
2022-01-03,-6.45,106.7,0.3542
2022-01-03,-6.45,106.75,0.20099999
2022-01-03,-6.45,106.8,0.0
2022-01-03,-6.45,106.85,0.0
2022-01-03,-6.45,106.9,0.088199995
2022-01-03,-6.45,106.95,0.1774
2022-01-03,-6.45,107.0,0.162
2022-01-03,-6.4,106.5,0.1924
2022-01-03,-6.4,106.55,0.0
2022-01-03,-6.4,106.6,0.0
2022-01-03,-6.4,106.65,0.41
2022-01-03,-6.4,106.7,0.19219999
2022-01-03,-6.4,106.75,0.3022
2022-01-03,-6.4,106.8,0.0
2022-01-03,-6.4,106.85,0.0
2022-01-03,-6.4,106.9,0.133
2022-01-03,-6.4,106.95,0.1814
2022-01-03,-6.4,107.0,0.2838
2022-01-03,-6.35,106.5,0.0
2022-01-03,-6.35,106.55,0.0
2022-01-03,-6.35,106.6,0.0
2022-01-03,-6.35,106.65,0.0
2022-01-03,-6.35,106.7,0.0
2022-01-03,-6.35,106.75,0.0
2022-01-03,-6.35,106.8,0.0
2022-01-03,-6.35,106.85,0.0
2022-01-03,-6.35,106.9,0.0
2022-01-03,-6.35,106.95,0.0
2022-01-03,-6.35,107.0,0.0
2022-01-03,-6.3,106.5,0.0
2022-01-03,-6.3,106.55,0.0
2022-01-03,-6.3,106.6,0.0
2022-01-03,-6.3,106.65,0.0
2022-01-03,-6.3,106.7,0.0
2022-01-03,-6.3,106.75,0.0
2022-01-03,-6.3,106.8,0.0
2022-01-03,-6.3,106.85,0.0
2022-01-03,-6.3,106.9,0.0
2022-01-03,-6.3,106.95,0.0
2022-01-03,-6.3,107.0,0.0
2022-01-03,-6.25,106.5,0.2866
2022-01-03,-6.25,106.55,0.0
2022-01-03,-6.25,106.6,0.0
2022-01-03,-6.25,106.65,0.1938
2022-01-03,-6.25,106.7,0.0778
2022-01-03,-6.25,106.75,0.1828
2022-01-03,-6.25,106.8,0.0
2022-01-03,-6.25,106.85,0.0
2022-01-03,-6.25,106.9,0.22019999
2022-01-03,-6.25,106.95,0.20539999
2022-01-03,-6.25,107.0,0.185
2022-01-03,-6.2,106.5,0.113
2022-01-03,-6.2,106.55,0.0
2022-01-03,-6.2,106.6,0.0
2022-01-03,-6.2,106.65,0.1858
2022-01-03,-6.2,106.7,0.2522
2022-01-03,-6.2,106.75,0.1336
2022-01-03,-6.2,106.8,0.0
2022-01-03,-6.2,106.85,0.0
2022-01-03,-6.2,106.9,0.2016
2022-01-03,-6.2,106.95,0.2766
2022-01-03,-6.2,107.0,0.24659999
2022-01-03,-6.15,106.5,0.1682
2022-01-03,-6.15,106.55,0.0
2022-01-03,-6.15,106.6,0.0
2022-01-03,-6.15,106.65,0.151
2022-01-03,-6.15,106.7,0.1302
2022-01-03,-6.15,106.75,0.1902
2022-01-03,-6.15,106.8,0.0
2022-01-03,-6.15,106.85,0.0
2022-01-03,-6.15,106.9,0.39519998
2022-01-03,-6.15,106.95,0.3236
2022-01-03,-6.15,107.0,0.2658
2022-01-03,-6.1,106.5,0.0
2022-01-03,-6.1,106.55,0.0
2022-01-03,-6.1,106.6,0.0
2022-01-03,-6.1,106.65,0.0
2022-01-03,-6.1,106.7,0.0
2022-01-03,-6.1,106.75,0.0
2022-01-03,-6.1,106.8,0.0
2022-01-03,-6.1,106.85,0.0
2022-01-03,-6.1,106.9,0.0
2022-01-03,-6.1,106.95,0.0
2022-01-03,-6.1,107.0,0.0
2022-01-03,-6.05,106.5,0.0
2022-01-03,-6.05,106.55,0.0
2022-01-03,-6.05,106.6,0.0
2022-01-03,-6.05,106.65,0.0
2022-01-03,-6.05,106.7,0.0
2022-01-03,-6.05,106.75,0.0
2022-01-03,-6.05,106.8,0.0
2022-01-03,-6.05,106.85,0.0
2022-01-03,-6.05,106.9,0.0
2022-01-03,-6.05,106.95,0.0
2022-01-03,-6.05,107.0,0.0
2022-01-03,-6.0,106.5,0.3412
2022-01-03,-6.0,106.55,0.0
2022-01-03,-6.0,106.6,0.0
2022-01-03,-6.0,106.65,0.3834
2022-01-03,-6.0,106.7,0.2798
2022-01-03,-6.0,106.75,0.2732
2022-01-03,-6.0,106.8,0.0
2022-01-03,-6.0,106.85,0.0
2022-01-03,-6.0,106.9,0.2796
2022-01-03,-6.0,106.95,0.3954
2022-01-03,-6.0,107.0,0.341
2022-01-04,-6.5,106.5,0.23539999
2022-01-04,-6.5,106.55,0.0
2022-01-04,-6.5,106.6,0.0
2022-01-04,-6.5,106.65,0.36699998
2022-01-04,-6.5,106.7,0.292
2022-01-04,-6.5,106.75,0.4894
2022-01-04,-6.5,106.8,0.0
2022-01-04,-6.5,106.85,0.0
2022-01-04,-6.5,106.9,0.0
2022-01-04,-6.5,106.95,0.23079999
2022-01-04,-6.5,107.0,0.32279998
2022-01-04,-6.45,106.5,0.282
2022-01-04,-6.45,106.55,0.0
2022-01-04,-6.45,106.6,0.0
2022-01-04,-6.45,106.65,0.40359998
2022-01-04,-6.45,106.7,0.5556
2022-01-04,-6.45,106.75,0.5158
