latitude,longitude,AOT_L2_Mean,AOT_L2_Num,AE_L2_Mean,AE_L2_Num,AOT_L3_Merged_Mean,AOT_L3_Merged_Num,AE_L3_Merged_Mean,AE_L3_Merged_Num
-5.9000015,106.5,0.5766,15.0,1.1732999,15.0,0.4396,1.0,,0.0
-5.9000015,106.55,0.5642,18.0,1.186,18.0,0.5754,2.0,,0.0
-5.9000015,106.6,0.5546,17.0,1.2018,17.0,0.6766,1.0,,0.0
-5.9000015,106.65,0.573,19.0,1.2236999,19.0,0.6522,1.0,,0.0
-5.9000015,106.7,0.5748,20.0,1.2211,20.0,0.5308,2.0,,0.0
-5.9000015,106.75,0.5956,22.0,1.2293999,22.0,0.4996,2.0,0.34329998,1.0
-5.9000015,106.8,0.5444,25.0,1.2268,25.0,0.4696,2.0,0.75549996,2.0
-5.9000015,106.85,0.5,25.0,1.2574999,25.0,0.4368,3.0,1.078,2.0
-5.9000015,106.9,0.5194,24.0,1.2529,24.0,0.4376,5.0,0.8960999,4.0
-5.9000015,106.95,0.5158,23.0,1.2524999,23.0,0.40179998,5.0,0.74319994,5.0
-5.9000015,107.0,0.4948,20.0,1.2658,20.0,0.4556,8.0,0.2073,4.0
-5.9500046,106.5,0.5072,12.0,1.1968,12.0,0.34759998,2.0,0.11619997,2.0
-5.9500046,106.55,0.5196,16.0,1.1733999,16.0,0.3638,2.0,-0.18180001,2.0
-5.9500046,106.6,0.6228,15.0,1.2227999,15.0,0.3946,2.0,-0.16480002,2.0
-5.9500046,106.65,0.6138,15.0,1.2163999,15.0,0.5578,2.0,-0.2611,1.0
-5.9500046,106.7,0.5782,16.0,1.2461,16.0,0.5402,2.0,0.29029995,1.0
-5.9500046,106.75,0.61899996,18.0,1.2644,18.0,0.5144,2.0,0.44159997,2.0
-5.9500046,106.8,0.59459996,22.0,1.2709,22.0,0.4868,2.0,0.9597,1.0
-5.9500046,106.85,0.6598,24.0,1.2931,24.0,0.4666,2.0,0.59889996,1.0
-5.9500046,106.9,0.564,18.0,1.2803999,18.0,0.5036,3.0,0.8579999,3.0
-5.9500046,106.95,0.5068,19.0,1.2778,19.0,0.4624,5.0,0.29039997,3.0
-5.9500046,107.0,0.5822,17.0,1.1651,17.0,0.4524,7.0,0.037400007,1.0
-6.0,106.5,0.5234,9.0,1.2099999,9.0,0.51339996,3.0,,0.0
-6.0,106.55,0.5678,13.0,1.2595999,13.0,0.3278,2.0,,0.0
-6.0,106.6,0.612,12.0,1.1552999,12.0,0.5506,3.0,,0.0
-6.0,106.65,0.6802,9.0,0.8909,9.0,0.5618,3.0,,0.0
-6.0,106.7,0.6448,11.0,1.2391,11.0,0.6504,2.0,,0.0
-6.0,106.75,0.6684,16.0,1.2705,16.0,0.6698,2.0,0.2044,1.0
-6.0,106.8,0.62479997,17.0,1.2699,17.0,0.3868,1.0,0.18290001,1.0
-6.0,106.85,0.61039996,19.0,1.2760999,19.0,0.4376,2.0,1.0158,1.0
-6.0,106.9,0.5556,20.0,1.2566999,20.0,0.47219998,4.0,0.29389995,2.0
-6.0,106.95,0.5334,17.0,1.2845,17.0,0.4254,7.0,0.09219998,1.0
-6.0,107.0,0.50299996,10.0,1.0522,10.0,0.37579998,7.0,-0.1451,2.0
-6.050003,106.5,0.713,21.0,0.98239994,21.0,0.506,3.0,0.35149997,2.0
-6.050003,106.55,0.2628,16.0,1.0569999,16.0,0.30539998,2.0,,0.0
-6.050003,106.6,0.6394,22.0,1.2234,22.0,0.5266,3.0,0.09219998,1.0
-6.050003,106.65,0.7204,26.0,1.1326,26.0,0.5094,3.0,0.40579998,1.0
-6.050003,106.7,0.7934,24.0,1.1617,24.0,0.5142,3.0,0.87819993,1.0
-6.050003,106.75,0.854,13.0,1.3576,13.0,0.5388,3.0,,0.0
-6.050003,106.8,0.76,15.0,1.2678,15.0,0.5,3.0,,0.0
-6.050003,106.85,0.66319996,18.0,1.2767999,18.0,0.4966,5.0,-0.100900024,1.0
-6.050003,106.9,0.6318,18.0,1.2804999,18.0,0.47419998,6.0,0.053499997,1.0
-6.050003,106.95,0.60179996,19.0,1.2951,19.0,0.3822,8.0,,0.0
-6.050003,107.0,0.3784,46.0,1.2021999,46.0,0.36839998,7.0,-0.4467,1.0
-6.0999985,106.5,0.63479996,21.0,1.0511,21.0,0.47599998,3.0,1.0971999,1.0
-6.0999985,106.55,0.56979996,28.0,1.0209,28.0,0.2708,2.0,-0.4539,1.0
-6.0999985,106.6,0.7668,24.0,1.3277999,24.0,0.4946,3.0,0.6744,1.0
-6.0999985,106.65,0.618,29.0,1.158,29.0,0.48819998,3.0,0.7241,1.0
-6.0999985,106.7,0.6198,35.0,1.162,35.0,0.4894,3.0,0.9518,1.0
-6.0999985,106.75,0.5054,33.0,1.1789,33.0,0.4666,3.0,1.0982,1.0
-6.0999985,106.8,,0.0,,0.0,0.42819998,3.0,,0.0
-6.0999985,106.85,,0.0,,0.0,0.4732,5.0,,0.0
-6.0999985,106.9,0.4256,40.0,1.124,40.0,0.4222,7.0,-0.2801,3.0
-6.0999985,106.95,0.4544,36.0,1.194,36.0,0.37939999,8.0,-0.273,3.0
-6.0999985,107.0,0.4024,39.0,1.1104,39.0,0.3692,7.0,-0.122099996,3.0
-6.1500015,106.5,1.1736,15.0,1.183,15.0,0.25759998,2.0,,0.0
-6.1500015,106.55,0.7392,25.0,1.1044999,25.0,0.2668,2.0,,0.0
-6.1500015,106.6,0.80799997,30.0,1.1926,30.0,0.4958,3.0,,0.0
-6.1500015,106.65,0.71959996,30.0,1.1268,30.0,0.4818,3.0,-0.4742,1.0
-6.1500015,106.7,0.5092,24.0,1.1838,24.0,0.48079997,3.0,0.30789995,1.0
-6.1500015,106.75,0.6358,33.0,1.1594,33.0,0.45,3.0,0.7579,1.0
-6.1500015,106.8,0.7822,37.0,1.1173999,37.0,0.4044,3.0,0.67359996,1.0
-6.1500015,106.85,0.5606,37.0,1.1825,37.0,0.3482,5.0,0.14559996,1.0
