latitude,longitude,AOT_L2_Mean,AOT_L2_Num,AE_L2_Mean,AE_L2_Num,AOT_L3_Merged_Mean,AOT_L3_Merged_Num,AE_L3_Merged_Mean,AE_L3_Merged_Num
-5.9000015,106.5,0.8118,19.0,1.2418,19.0,0.7484,4.0,0.7824,4.0
-5.9000015,106.55,0.8498,18.0,1.2502999,18.0,0.7704,4.0,0.60389996,4.0
-5.9000015,106.6,0.79639995,19.0,1.2313,19.0,0.765,4.0,1.1013,4.0
-5.9000015,106.65,0.7798,19.0,1.236,19.0,0.75159997,4.0,1.0275999,4.0
-5.9000015,106.7,0.7176,21.0,1.2152,21.0,0.7364,4.0,1.1441,4.0
-5.9000015,106.75,0.7306,22.0,1.2172999,22.0,0.7236,4.0,0.9943,4.0
-5.9000015,106.8,0.687,23.0,1.2014999,23.0,0.7162,4.0,1.1004,4.0
-5.9000015,106.85,0.6734,24.0,1.1992999,24.0,0.7054,4.0,1.1832999,4.0
-5.9000015,106.9,0.6662,24.0,1.1947999,24.0,0.69479996,4.0,1.137,4.0
-5.9000015,106.95,0.6702,27.0,1.2255,27.0,0.6554,5.0,1.0547,5.0
-5.9000015,107.0,0.6802,25.0,1.2154,25.0,0.6652,7.0,0.832,5.0
-5.9500046,106.5,0.83199996,19.0,1.2291,19.0,0.755,4.0,0.6703,4.0
-5.9500046,106.55,0.8404,18.0,1.216,18.0,0.77739996,4.0,0.88109994,4.0
-5.9500046,106.6,0.87939996,18.0,1.2132,18.0,0.7714,4.0,0.56509995,3.0
-5.9500046,106.65,0.8068,20.0,1.2386,20.0,0.77959996,4.0,0.7924,4.0
-5.9500046,106.7,0.7862,20.0,1.2414,20.0,0.766,4.0,0.934,4.0
-5.9500046,106.75,0.7536,21.0,1.2164999,21.0,0.752,4.0,1.0561999,4.0
-5.9500046,106.8,0.7334,22.0,1.2119,22.0,0.73939997,4.0,1.0848,4.0
-5.9500046,106.85,0.82799995,22.0,1.2393,22.0,0.7266,4.0,0.89409995,1.0
-5.9500046,106.9,0.696,22.0,1.2033,22.0,0.7194,4.0,1.0597,4.0
-5.9500046,106.95,0.7184,23.0,1.1949999,23.0,0.67899996,5.0,0.9165,5.0
-5.9500046,107.0,0.8656,23.0,1.0992999,23.0,0.67579997,7.0,0.2496,2.0
-6.0,106.5,0.87619996,20.0,1.2278,20.0,0.8264,7.0,0.3782,3.0
-6.0,106.55,0.927,20.0,1.244,20.0,0.82879996,7.0,-0.109100014,2.0
-6.0,106.6,0.8832,20.0,1.1844,20.0,0.8886,6.0,0.11019999,3.0
-6.0,106.65,1.0248,20.0,0.9577999,20.0,0.8186,5.0,0.34919995,1.0
-6.0,106.7,0.8494,20.0,1.2227,20.0,0.81219995,5.0,0.22679996,4.0
-6.0,106.75,0.78959996,20.0,1.2205,20.0,0.77059996,4.0,0.857,4.0
-6.0,106.8,0.79899997,21.0,1.2078999,21.0,0.759,4.0,0.74039996,3.0
-6.0,106.85,0.7592,21.0,1.2199999,21.0,0.75439996,4.0,1.1229999,4.0
-6.0,106.9,0.736,22.0,1.2178999,22.0,0.74539995,4.0,1.1487,4.0
-6.0,106.95,0.75699997,21.0,1.2399,21.0,0.7064,7.0,0.45519996,5.0
-6.0,107.0,1.2501999,9.0,1.1694,9.0,0.6788,7.0,,0.0
-6.050003,106.5,1.0799999,43.0,1.0597999,43.0,0.8218,7.0,0.29579997,2.0
-6.050003,106.55,0.43559998,27.0,0.9700999,27.0,0.83239996,6.0,0.26779997,1.0
-6.050003,106.6,0.83559996,23.0,1.1525999,23.0,0.8192,7.0,-0.012100011,4.0
-6.050003,106.65,1.0406,39.0,1.1456,39.0,0.8598,6.0,0.26199996,2.0
-6.050003,106.7,0.8914,33.0,1.0963,33.0,0.82379997,5.0,0.18470001,3.0
-6.050003,106.75,0.9784,20.0,1.3064,20.0,0.77199996,4.0,,0.0
-6.050003,106.8,0.90639997,21.0,1.2263,21.0,0.7676,4.0,0.7637,1.0
-6.050003,106.85,0.866,21.0,1.2176,21.0,0.76519996,4.0,0.95809996,2.0
-6.050003,106.9,0.8678,21.0,1.2357999,21.0,0.72179997,3.0,0.5705999,1.0
-6.050003,106.95,0.86679995,22.0,1.2248,22.0,0.7168,6.0,0.019899964,1.0
-6.050003,107.0,0.7496,18.0,1.2242,18.0,0.6594,5.0,0.11519998,3.0
-6.0999985,106.5,0.90239996,39.0,1.1697999,39.0,0.8326,5.0,0.09920001,2.0
-6.0999985,106.55,0.84239995,47.0,1.0573,47.0,0.8142,6.0,0.1871,3.0
-6.0999985,106.6,0.9946,33.0,1.3532,33.0,0.806,6.0,0.3793,2.0
-6.0999985,106.65,0.7998,28.0,1.234,28.0,0.7826,6.0,0.23329997,3.0
-6.0999985,106.7,0.7216,38.0,1.2062999,38.0,0.8322,4.0,-0.24490002,1.0
-6.0999985,106.75,0.6056,27.0,1.0917,27.0,0.7848,3.0,-0.020200014,2.0
-6.0999985,106.8,,0.0,,0.0,0.78779995,3.0,,0.0
-6.0999985,106.85,,0.0,,0.0,0.74799997,2.0,,0.0
-6.0999985,106.9,0.6708,36.0,1.1302999,36.0,0.6728,4.0,,0.0
-6.0999985,106.95,0.777,41.0,1.2821,41.0,0.5994,2.0,0.7974,1.0
-6.0999985,107.0,0.817,20.0,1.1686,20.0,0.6358,3.0,0.6896,2.0
-6.1500015,106.5,1.3294,29.0,1.2044,29.0,0.82,5.0,,0.0
-6.1500015,106.55,1.0045999,32.0,1.1460999,32.0,0.78999996,5.0,,0.0
-6.1500015,106.6,0.96559995,28.0,1.2334,28.0,0.76699996,5.0,,0.0
-6.1500015,106.65,0.83239996,28.0,1.1901,28.0,0.838,4.0,,0.0
-6.1500015,106.7,0.5652,17.0,1.1982,17.0,0.9802,2.0,-0.17300001,1.0
-6.1500015,106.75,0.6552,26.0,1.199,26.0,,0.0,,0.0
-6.1500015,106.8,0.6516,18.0,1.1815,18.0,,0.0,,0.0
-6.1500015,106.85,0.7216,25.0,1.2321999,25.0,,0.0,,0.0
-6.1500015,106.9,0.6436,23.0,1.2404,23.0,,0.0,,0.0
-6.1500015,106.95,1.1154,42.0,1.3414999,42.0,0.593,2.0,0.86609995,1.0
-6.1500015,107.0,0.6978,34.0,1.0983,34.0,0.5428,3.0,0.2744,2.0
-6.2000046,106.5,0.7338,25.0,1.2522,25.0,0.7694,4.0,,0.0
-6.2000046,106.55,0.4834,19.0,1.2285,19.0,0.4218,2.0,,0.0
-6.2000046,106.6,0.602,18.0,1.2401999,18.0,0.3992,2.0,,0.0
-6.2000046,106.65,0.7338,16.0,1.2578,16.0,0.3942,1.0,,0.0
-6.2000046,106.7,0.774,20.0,1.2483,20.0,0.39499998,1.0,,0.0
-6.2000046,106.75,0.9238,10.0,1.2723,10.0,,0.0,,0.0
-6.2000046,106.8,0.9806,9.0,1.066,9.0,,0.0,,0.0
-6.2000046,106.85,0.6834,10.0,1.1479,10.0,,0.0,,0.0
-6.2000046,106.9,0.5882,15.0,1.2208999,15.0,,0.0,,0.0
-6.2000046,106.95,0.7786,13.0,1.2034999,13.0,0.7064,1.0,,0.0
-6.2000046,107.0,0.7822,27.0,1.3307999,27.0,0.5532,2.0,,0.0
-6.25,106.5,0.5356,29.0,1.2011,29.0,0.456,2.0,,0.0
-6.25,106.55,0.55579996,20.0,1.1327,20.0,0.3936,2.0,,0.0
-6.25,106.6,0.6256,23.0,1.1925,23.0,0.36879998,2.0,,0.0
-6.25,106.65,0.52959996,18.0,1.1897,18.0,0.378,2.0,,0.0
-6.25,106.7,0.60179996,16.0,1.1735,16.0,0.38419998,1.0,,0.0
-6.25,106.75,0.594,10.0,1.3054999,10.0,,0.0,,0.0
-6.25,106.8,0.695,6.0,1.2184,6.0,,0.0,,0.0
-6.25,106.85,0.62,10.0,1.2563,10.0,,0.0,,0.0
-6.25,106.9,0.7284,12.0,1.1811999,12.0,,0.0,,0.0
-6.25,106.95,0.64879996,10.0,1.1775,10.0,,0.0,,0.0
-6.25,107.0,0.7608,14.0,1.3317,14.0,0.56479996,2.0,,0.0
