latitude,longitude,AOT_L2_Mean,AOT_L2_Num,AE_L2_Mean,AE_L2_Num,AOT_L3_Merged_Mean,AOT_L3_Merged_Num,AE_L3_Merged_Mean,AE_L3_Merged_Num
-5.9000015,106.5,0.2774,31.0,1.14,31.0,0.2708,3.0,,0.0
-5.9000015,106.55,0.2738,31.0,1.1409999,31.0,0.2732,3.0,,0.0
-5.9000015,106.6,0.27019998,34.0,1.1271,34.0,0.29839998,1.0,,0.0
-5.9000015,106.65,0.2764,28.0,1.1305,28.0,0.282,1.0,,0.0
-5.9000015,106.7,0.2794,23.0,1.129,23.0,0.2886,2.0,,0.0
-5.9000015,106.75,0.2832,25.0,1.0997,25.0,0.2768,2.0,-0.051400006,2.0
-5.9000015,106.8,0.2722,24.0,1.1171,24.0,0.2778,2.0,0.3139,1.0
-5.9000015,106.85,0.2868,22.0,1.0879999,22.0,0.2658,2.0,,0.0
-5.9000015,106.9,0.278,18.0,1.0995,18.0,0.2598,2.0,,0.0
-5.9000015,106.95,0.3154,13.0,1.0521,13.0,0.2436,2.0,,0.0
-5.9000015,107.0,,0.0,,0.0,0.21319999,1.0,,0.0
-5.9500046,106.5,0.3166,33.0,1.1443,33.0,0.2332,3.0,0.102099955,2.0
-5.9500046,106.55,0.28919998,28.0,1.1492,28.0,0.24219999,3.0,0.1713,2.0
-5.9500046,106.6,0.3172,29.0,1.1276,29.0,0.23539999,2.0,0.15259999,2.0
-5.9500046,106.65,0.2976,29.0,1.1467999,29.0,0.2636,1.0,-0.011400014,1.0
-5.9500046,106.7,0.3074,29.0,1.1310999,29.0,0.28779998,2.0,0.31059998,2.0
-5.9500046,106.75,0.3094,21.0,1.1252999,21.0,0.29279998,2.0,0.1588,2.0
-5.9500046,106.8,0.311,23.0,1.1177,23.0,0.31,2.0,0.143,2.0
-5.9500046,106.85,0.413,12.0,1.1460999,12.0,0.2926,1.0,,0.0
-5.9500046,106.9,0.3322,9.0,1.0777,9.0,0.29099998,1.0,0.0819,1.0
-5.9500046,106.95,0.3216,4.0,1.1135,4.0,0.268,1.0,,0.0
-5.9500046,107.0,0.71959996,2.0,0.99389994,2.0,0.1986,1.0,,0.0
-6.0,106.5,0.37399998,25.0,1.1876,25.0,0.2156,3.0,-0.026900023,1.0
-6.0,106.55,0.37559998,28.0,1.1725,28.0,0.2118,3.0,-0.07820001,1.0
-6.0,106.6,0.3568,10.0,1.2212,10.0,0.1936,2.0,,0.0
-6.0,106.65,0.52739996,3.0,1.0272,3.0,0.25779998,1.0,,0.0
-6.0,106.7,0.34939998,25.0,1.1416,25.0,0.26139998,1.0,,0.0
-6.0,106.75,0.3748,19.0,1.1396999,19.0,0.30179998,2.0,0.2597,2.0
-6.0,106.8,0.3822,13.0,1.1271,13.0,0.313,2.0,0.52820003,2.0
-6.0,106.85,0.3782,12.0,1.1279999,12.0,0.305,1.0,0.6206,1.0
-6.0,106.9,0.3976,13.0,1.1180999,13.0,0.3094,1.0,0.5221,1.0
-6.0,106.95,0.37359998,14.0,1.1154,14.0,0.2882,1.0,0.40219998,1.0
-6.0,107.0,0.0852,5.0,1.1101999,5.0,,0.0,,0.0
-6.050003,106.5,0.110999994,21.0,1.1218,21.0,0.2094,3.0,,0.0
-6.050003,106.55,0.29819998,23.0,1.2256,23.0,0.1752,2.0,,0.0
-6.050003,106.6,0.065799996,7.0,1.0770999,7.0,0.1706,2.0,,0.0
-6.050003,106.65,0.1294,27.0,1.1207,27.0,0.23699999,1.0,,0.0
-6.050003,106.7,0.114,17.0,1.124,17.0,0.26119998,1.0,,0.0
-6.050003,106.75,0.427,15.0,1.2364,15.0,0.26659998,1.0,0.22469997,1.0
-6.050003,106.8,0.4746,16.0,1.0703,16.0,0.2848,1.0,0.4278,1.0
-6.050003,106.85,0.4096,10.0,1.1621,10.0,0.3214,1.0,0.9419,1.0
-6.050003,106.9,0.44779998,12.0,1.1452999,12.0,0.3178,1.0,0.44019997,1.0
-6.050003,106.95,0.41439998,11.0,1.1690999,11.0,0.2882,1.0,,0.0
-6.050003,107.0,0.2008,4.0,1.1028999,4.0,,0.0,,0.0
-6.0999985,106.5,0.1608,16.0,1.1662999,16.0,0.064399995,1.0,,0.0
-6.0999985,106.55,0.1636,23.0,1.1638999,23.0,0.064399995,1.0,,0.0
-6.0999985,106.6,0.116399996,25.0,1.1498,25.0,,0.0,,0.0
-6.0999985,106.65,0.1528,22.0,1.1215999,22.0,,0.0,,0.0
-6.0999985,106.7,0.5124,20.0,0.9733,20.0,,0.0,,0.0
-6.0999985,106.75,0.47559997,5.0,0.77849996,5.0,,0.0,,0.0
-6.0999985,106.8,,0.0,,0.0,0.312,1.0,,0.0
-6.0999985,106.85,,0.0,,0.0,,0.0,,0.0
-6.0999985,106.9,0.1674,15.0,1.0863999,15.0,0.326,1.0,,0.0
-6.0999985,106.95,0.055999998,5.0,1.0726,3.0,,0.0,,0.0
-6.0999985,107.0,0.225,11.0,1.0052999,10.0,,0.0,,0.0
-6.1500015,106.5,0.1416,4.0,1.1594,4.0,,0.0,,0.0
-6.1500015,106.55,0.268,8.0,1.0094999,8.0,,0.0,,0.0
-6.1500015,106.6,0.4114,6.0,0.9369,6.0,,0.0,,0.0
-6.1500015,106.65,0.2722,4.0,1.0539,4.0,,0.0,,0.0
-6.1500015,106.7,0.21959999,4.0,1.1018,4.0,,0.0,,0.0
-6.1500015,106.75,0.087,4.0,1.1234,4.0,,0.0,,0.0
-6.1500015,106.8,0.486,1.0,1.031,1.0,,0.0,,0.0
-6.1500015,106.85,0.0596,6.0,1.056,5.0,,0.0,,0.0
-6.1500015,106.9,0.1634,8.0,1.0177,8.0,,0.0,,0.0
-6.1500015,106.95,,0.0,,0.0,,0.0,,0.0
-6.1500015,107.0,0.218,5.0,1.0893999,5.0,,0.0,,0.0
-6.2000046,106.5,0.1638,3.0,1.0976,3.0,,0.0,,0.0
-6.2000046,106.55,0.348,5.0,1.035,5.0,,0.0,,0.0
-6.2000046,106.6,0.4098,4.0,1.0952,4.0,,0.0,,0.0
-6.2000046,106.65,0.5288,3.0,0.9684,3.0,,0.0,,0.0
-6.2000046,106.7,0.3542,1.0,0.9147999,1.0,,0.0,,0.0
-6.2000046,106.75,,0.0,,0.0,,0.0,,0.0
-6.2000046,106.8,1.2572,1.0,0.8543999,1.0,,0.0,,0.0
-6.2000046,106.85,,0.0,,0.0,,0.0,,0.0
-6.2000046,106.9,0.0094,1.0,1.1430999,1.0,,0.0,,0.0
-6.2000046,106.95,0.6774,4.0,0.7908,4.0,,0.0,,0.0
-6.2000046,107.0,0.433,6.0,0.93499994,6.0,,0.0,,0.0
