latitude,longitude,AOT_L2_Mean,AOT_L2_Num,AE_L2_Mean,AE_L2_Num,AOT_L3_Merged_Mean,AOT_L3_Merged_Num,AE_L3_Merged_Mean,AE_L3_Merged_Num
-5.9000015,106.5,0.5736,27.0,1.2279999,27.0,0.607,5.0,0.5566,2.0
-5.9000015,106.55,0.57379997,26.0,1.2253,26.0,0.6084,5.0,0.5538,2.0
-5.9000015,106.6,0.5536,28.0,1.2264999,28.0,0.603,5.0,1.1008999,1.0
-5.9000015,106.65,0.56799996,28.0,1.2300999,28.0,0.5708,5.0,0.87409997,1.0
-5.9000015,106.7,0.5614,27.0,1.2335,27.0,0.5438,5.0,0.66199994,2.0
-5.9000015,106.75,0.516,29.0,1.2241,29.0,0.5312,5.0,1.1317999,5.0
-5.9000015,106.8,0.49839997,27.0,1.2215999,27.0,0.52959996,5.0,1.1703999,5.0
-5.9000015,106.85,0.49539998,28.0,1.216,28.0,0.5276,5.0,1.1661999,5.0
-5.9000015,106.9,0.5038,28.0,1.2229999,28.0,0.5282,5.0,1.0794,5.0
-5.9000015,106.95,0.4994,29.0,1.2284,29.0,0.5096,5.0,0.9267,5.0
-5.9000015,107.0,0.56,27.0,1.2998999,27.0,0.524,6.0,0.3017,4.0
-5.9500046,106.5,0.64419997,25.0,1.2314,25.0,0.6188,5.0,0.6402,5.0
-5.9500046,106.55,0.61,26.0,1.2208999,26.0,0.6342,5.0,0.6394,5.0
-5.9500046,106.6,0.638,25.0,1.2222999,25.0,0.62939996,5.0,0.56789994,5.0
-5.9500046,106.65,0.59139997,26.0,1.2455,26.0,0.6274,5.0,0.5337,5.0
-5.9500046,106.7,0.5786,26.0,1.2429,26.0,0.5862,5.0,0.7831,5.0
-5.9500046,106.75,0.5818,26.0,1.2368,26.0,0.5582,5.0,0.9123,4.0
-5.9500046,106.8,0.5266,27.0,1.2315999,27.0,0.552,5.0,1.1735,5.0
-5.9500046,106.85,0.64419997,27.0,1.2471,27.0,0.5476,5.0,0.7341,3.0
-5.9500046,106.9,0.5592,27.0,1.2425,27.0,0.54679996,5.0,0.9900999,5.0
-5.9500046,106.95,0.5818,27.0,1.2557,27.0,0.5488,6.0,0.45339996,4.0
-5.9500046,107.0,0.6892,28.0,1.1405,28.0,0.5498,8.0,0.10589999,1.0
-6.0,106.5,0.76699996,23.0,1.2687,23.0,0.7064,6.0,-0.1397,2.0
-6.0,106.55,0.761,23.0,1.2842,23.0,0.66719997,5.0,0.14309996,4.0
-6.0,106.6,0.7568,24.0,1.2312,24.0,0.668,5.0,0.065999985,3.0
-6.0,106.65,0.8882,19.0,1.0188999,19.0,0.6486,5.0,0.12559998,1.0
-6.0,106.7,0.704,23.0,1.2529,23.0,0.6198,5.0,0.21450001,3.0
-6.0,106.75,0.6532,24.0,1.2492,24.0,0.5956,5.0,0.3707,4.0
-6.0,106.8,0.6206,24.0,1.2377,24.0,0.57699996,5.0,0.6882,4.0
-6.0,106.85,0.5832,25.0,1.2377,25.0,0.57839996,5.0,1.17,5.0
-6.0,106.9,0.61579996,25.0,1.2493,25.0,0.5688,5.0,0.63769996,5.0
-6.0,106.95,0.62799996,26.0,1.2603999,26.0,0.56839997,8.0,0.078399956,4.0
-6.0,107.0,0.7236,12.0,1.0981,12.0,0.5448,8.0,-0.23880002,2.0
-6.050003,106.5,0.922,42.0,0.9398999,42.0,0.7834,8.0,0.07120001,3.0
-6.050003,106.55,0.48979998,24.0,0.9425,24.0,0.78599995,8.0,0.34999996,2.0
-6.050003,106.6,0.7434,32.0,1.1768999,32.0,0.73399997,7.0,0.045899987,3.0
-6.050003,106.65,0.8206,41.0,1.0998,41.0,0.6908,7.0,-0.017400026,1.0
-6.050003,106.7,0.8096,30.0,1.1428,30.0,0.67859995,7.0,0.1645,4.0
-6.050003,106.75,0.86399996,23.0,1.3439,23.0,0.6526,6.0,,0.0
-6.050003,106.8,0.73499995,23.0,1.2507,23.0,0.6498,7.0,0.1652,2.0
-6.050003,106.85,0.65639997,23.0,1.2332,23.0,0.60319996,7.0,0.2655,5.0
-6.050003,106.9,0.6836,24.0,1.2419,24.0,0.5868,7.0,-0.04090002,3.0
-6.050003,106.95,0.68659997,25.0,1.286,25.0,0.5728,8.0,-0.1315,3.0
-6.050003,107.0,0.51199996,51.0,1.1827999,51.0,0.5476,8.0,-0.016000003,4.0
-6.0999985,106.5,0.7388,34.0,1.0123999,34.0,0.7448,7.0,-0.1288,3.0
-6.0999985,106.55,0.5524,27.0,1.114,27.0,0.73859996,6.0,-0.20250002,2.0
-6.0999985,106.6,1.0776,43.0,1.3019999,43.0,0.7506,7.0,0.34579998,2.0
-6.0999985,106.65,0.8038,30.0,1.1859,30.0,0.6462,6.0,0.012099981,2.0
-6.0999985,106.7,0.573,33.0,1.2325,33.0,0.7018,6.0,0.29859996,3.0
-6.0999985,106.75,0.6196,29.0,1.1227,29.0,0.6946,7.0,-0.06290001,3.0
-6.0999985,106.8,,0.0,,0.0,0.64559996,8.0,,0.0
-6.0999985,106.85,1.0322,1.0,1.4322,1.0,0.58919996,7.0,,0.0
-6.0999985,106.9,0.5,53.0,1.1551,53.0,0.5588,7.0,0.53419995,3.0
-6.0999985,106.95,0.6058,46.0,1.2289,46.0,0.56799996,8.0,0.3768,5.0
-6.0999985,107.0,0.594,47.0,1.1554999,47.0,0.5288,9.0,0.16579998,6.0
-6.1500015,106.5,1.2531999,35.0,1.1728,35.0,0.7428,5.0,0.16399997,1.0
-6.1500015,106.55,0.8896,30.0,1.1926,30.0,0.756,5.0,,0.0
-6.1500015,106.6,0.9632,37.0,1.3154,37.0,0.6394,4.0,,0.0
-6.1500015,106.65,0.73579997,34.0,1.1925,34.0,0.6526,5.0,-0.15800002,1.0
-6.1500015,106.7,0.47219998,22.0,1.1789,22.0,0.641,5.0,0.35929996,1.0
-6.1500015,106.75,0.6606,42.0,1.2311,42.0,0.6336,4.0,0.5115,2.0
-6.1500015,106.8,0.6252,51.0,1.1818999,51.0,0.5862,5.0,0.55499995,3.0
-6.1500015,106.85,0.61179996,46.0,1.2102,46.0,0.56619996,5.0,0.4163,4.0
-6.1500015,106.9,0.551,47.0,1.2126,47.0,0.51379997,5.0,0.49009997,5.0
-6.1500015,106.95,0.812,40.0,1.2828,40.0,0.52739996,6.0,0.56569993,2.0
-6.1500015,107.0,0.4926,35.0,1.0051999,35.0,0.5108,7.0,0.23809999,3.0
-6.2000046,106.5,0.7876,25.0,1.2459999,25.0,0.7308,5.0,0.1325,1.0
-6.2000046,106.55,0.5618,24.0,1.1808,24.0,0.64779997,4.0,,0.0
-6.2000046,106.6,0.39,22.0,1.2375,22.0,0.47079998,3.0,-0.19870001,1.0
-6.2000046,106.65,0.8084,24.0,1.2156999,24.0,0.45,3.0,,0.0
-6.2000046,106.7,0.6554,16.0,1.2524999,16.0,0.5814,3.0,,0.0
-6.2000046,106.75,0.6164,22.0,1.2330999,22.0,0.5488,3.0,,0.0
-6.2000046,106.8,0.7172,28.0,1.1962,28.0,0.3922,2.0,-0.4079,1.0
-6.2000046,106.85,0.606,31.0,1.2161,31.0,0.5252,4.0,,0.0
-6.2000046,106.9,0.6048,32.0,1.2414,32.0,0.51699996,5.0,0.31379998,2.0
-6.2000046,106.95,0.5514,29.0,1.2068,29.0,0.516,5.0,-0.017700016,3.0
-6.2000046,107.0,0.5656,48.0,1.2233,48.0,0.5114,6.0,0.085399985,3.0
-6.25,106.5,0.57379997,23.0,1.1759,23.0,0.49499997,3.0,-0.2403,1.0
-6.25,106.55,0.552,27.0,1.1336,27.0,0.48979998,3.0,,0.0
-6.25,106.6,0.5276,21.0,1.1984999,21.0,0.47439998,3.0,0.022300005,1.0
-6.25,106.65,0.5038,22.0,1.2177999,22.0,0.42319998,3.0,0.055700004,1.0
-6.25,106.7,0.4904,17.0,1.2421,17.0,0.45319998,2.0,,0.0
-6.25,106.75,0.51339996,15.0,1.2881999,15.0,0.443,2.0,,0.0
-6.25,106.8,0.58599997,23.0,1.2707,23.0,0.4244,2.0,,0.0
-6.25,106.85,0.4854,19.0,1.2558999,19.0,0.429,2.0,0.22979999,1.0
-6.25,106.9,0.543,27.0,1.2149999,27.0,0.505,3.0,-0.043800026,2.0
-6.25,106.95,0.5844,30.0,1.27,30.0,0.5322,4.0,-0.153,2.0
-6.25,107.0,0.6142,45.0,1.255,45.0,0.53639996,5.0,-0.30580002,1.0
-6.300003,106.5,1.1935999,26.0,1.1419,26.0,0.5004,3.0,,0.0
-6.300003,106.55,0.60899997,28.0,1.1394,28.0,0.4904,3.0,-0.20200002,1.0
-6.300003,106.6,0.64919996,20.0,1.2268,20.0,0.46159998,3.0,,0.0
-6.300003,106.65,0.6756,22.0,1.2188,22.0,0.44959998,3.0,0.12599999,1.0
-6.300003,106.7,0.49199998,20.0,1.1851,20.0,0.502,2.0,,0.0
-6.300003,106.75,0.52099997,22.0,1.3600999,22.0,0.4712,2.0,0.3028,1.0
-6.300003,106.8,0.6042,22.0,1.2285999,22.0,0.4592,2.0,0.357,1.0
-6.300003,106.85,0.561,17.0,1.3275,17.0,0.4642,2.0,0.25439996,1.0
-6.300003,106.9,0.5852,21.0,1.2299999,21.0,0.57339996,3.0,-0.076000005,2.0
-6.300003,106.95,0.7822,28.0,1.2659999,28.0,0.5724,3.0,-0.18600002,1.0
-6.300003,107.0,0.7384,38.0,1.2426,38.0,0.5538,4.0,,0.0
-6.3499985,106.5,1.0002,32.0,1.1445999,32.0,0.5344,4.0,,0.0
-6.3499985,106.55,0.5776,24.0,1.2236999,24.0,0.5234,4.0,-0.36540002,1.0
-6.3499985,106.6,0.677,30.0,1.2706,30.0,0.5168,4.0,-0.25770003,1.0
-6.3499985,106.65,0.6856,28.0,1.3774999,28.0,0.51879996,4.0,-0.081,1.0
-6.3499985,106.7,0.5728,23.0,1.2982999,23.0,0.5566,4.0,0.030399978,1.0
-6.3499985,106.75,0.5184,22.0,1.2669,22.0,0.5898,3.0,0.28529996,1.0
-6.3499985,106.8,0.8692,20.0,1.3962,20.0,0.57379997,3.0,0.29719996,1.0
