latitude,longitude,AOT_L2_Mean,AOT_L2_Num,AE_L2_Mean,AE_L2_Num,AOT_L3_Merged_Mean,AOT_L3_Merged_Num,AE_L3_Merged_Mean,AE_L3_Merged_Num
-5.9000015,106.5,0.4974,26.0,1.2894,26.0,0.51519996,5.0,1.1687,5.0
-5.9000015,106.55,0.515,26.0,1.2974999,26.0,0.5238,5.0,1.1439999,5.0
-5.9000015,106.6,0.5096,26.0,1.288,26.0,0.527,5.0,1.3106999,1.0
-5.9000015,106.65,0.50479996,27.0,1.2982999,27.0,0.5218,5.0,1.2343999,1.0
-5.9000015,106.7,0.5022,27.0,1.2947999,27.0,0.508,5.0,1.1755999,1.0
-5.9000015,106.75,0.5042,28.0,1.2967999,28.0,0.5018,5.0,1.2581999,5.0
-5.9000015,106.8,0.49199998,27.0,1.3001,27.0,0.498,5.0,1.1125,5.0
-5.9000015,106.85,0.4996,27.0,1.3032999,27.0,0.4928,5.0,1.1137999,5.0
-5.9000015,106.9,0.4976,28.0,1.3053,28.0,0.48659998,5.0,1.1139,5.0
-5.9000015,106.95,0.48119998,28.0,1.3018999,28.0,0.4678,5.0,1.1639999,5.0
-5.9000015,107.0,0.4904,29.0,1.3275,29.0,0.4254,5.0,0.5733,4.0
-5.9500046,106.5,0.5588,24.0,1.2845,24.0,0.4858,5.0,0.64189994,4.0
-5.9500046,106.55,0.5202,24.0,1.2832999,24.0,0.4876,5.0,0.57729995,5.0
-5.9500046,106.6,0.6684,29.0,1.1199,29.0,0.49879998,5.0,0.85169995,4.0
-5.9500046,106.65,0.49899998,25.0,1.2942,25.0,0.48459998,5.0,1.0911,1.0
-5.9500046,106.7,0.49699998,26.0,1.3034999,26.0,0.49339998,5.0,1.002,5.0
-5.9500046,106.75,0.4946,25.0,1.2919999,25.0,0.48959997,5.0,1.0071,5.0
-5.9500046,106.8,0.48799998,25.0,1.2991999,25.0,0.501,5.0,1.2202,5.0
-5.9500046,106.85,0.5862,26.0,1.3108,26.0,0.496,5.0,0.6321,3.0
-5.9500046,106.9,0.5098,26.0,1.3076999,26.0,0.4906,5.0,1.1868,5.0
-5.9500046,106.95,0.5222,27.0,1.3154999,27.0,0.42819998,5.0,0.38049996,4.0
-5.9500046,107.0,0.5352,27.0,1.2203,27.0,0.3876,5.0,,0.0
-6.0,106.5,0.6192,22.0,1.2608999,22.0,0.3818,8.0,,0.0
-6.0,106.55,0.6084,22.0,1.2623999,22.0,0.3936,8.0,0.05549997,2.0
-6.0,106.6,0.5708,21.0,1.2876999,21.0,0.3838,8.0,,0.0
-6.0,106.65,0.5704,1.0,0.6882,1.0,0.38639998,8.0,,0.0
-6.0,106.7,0.7446,38.0,1.0758,38.0,0.42459998,7.0,0.58949995,1.0
-6.0,106.75,0.5006,23.0,1.2811999,23.0,0.4852,5.0,0.8052,5.0
-6.0,106.8,0.487,24.0,1.2745,24.0,0.4886,5.0,1.0087,5.0
-6.0,106.85,0.501,24.0,1.2921,24.0,0.5018,5.0,1.2768999,5.0
-6.0,106.9,0.5178,25.0,1.3070999,25.0,0.44799998,5.0,0.4554,5.0
-6.0,106.95,0.5334,24.0,1.3199999,24.0,0.369,6.0,0.50189996,1.0
-6.0,107.0,0.53499997,31.0,0.9941,31.0,0.3048,7.0,,0.0
-6.050003,106.5,0.3604,51.0,1.1387999,51.0,0.332,9.0,,0.0
-6.050003,106.55,0.708,27.0,1.0432,27.0,0.3364,9.0,,0.0
-6.050003,106.6,0.32459998,31.0,1.0756999,31.0,0.34,9.0,,0.0
-6.050003,106.65,0.34739998,45.0,1.1453999,43.0,0.35639998,9.0,,0.0
-6.050003,106.7,0.27019998,34.0,1.1592,33.0,0.3692,7.0,,0.0
-6.050003,106.75,0.5748,23.0,1.3537999,23.0,0.4156,7.0,,0.0
-6.050003,106.8,0.5482,23.0,1.2718999,23.0,0.4296,6.0,,0.0
-6.050003,106.85,0.5344,24.0,1.2784,24.0,0.4342,6.0,0.71529996,4.0
-6.050003,106.9,0.5564,24.0,1.2888999,24.0,0.36659998,7.0,0.59099996,1.0
-6.050003,106.95,0.5554,25.0,1.3350999,25.0,0.34,8.0,,0.0
-6.050003,107.0,0.2768,45.0,1.1536,45.0,0.2658,8.0,,0.0
-6.0999985,106.5,0.4006,36.0,1.1502,36.0,0.2786,8.0,,0.0
-6.0999985,106.55,0.4698,41.0,1.1048,41.0,0.273,8.0,-0.39990002,1.0
-6.0999985,106.6,0.2882,43.0,1.2044,43.0,0.2938,7.0,-0.3443,1.0
-6.0999985,106.65,0.3946,38.0,1.1588,38.0,0.28599998,7.0,-0.030800015,1.0
-6.0999985,106.7,0.23539999,41.0,1.1659,41.0,0.3076,6.0,,0.0
-6.0999985,106.75,0.1726,11.0,1.1746999,11.0,0.37759998,7.0,,0.0
-6.0999985,106.8,0.7176,27.0,0.90839994,27.0,0.3748,7.0,,0.0
-6.0999985,106.85,0.8092,27.0,0.9017999,27.0,0.3556,7.0,,0.0
-6.0999985,106.9,0.2654,36.0,1.1272999,36.0,0.31379998,8.0,,0.0
-6.0999985,106.95,0.30719998,37.0,1.1434,37.0,0.29299998,8.0,,0.0
-6.0999985,107.0,0.2722,39.0,1.1671,39.0,0.2636,8.0,-0.2428,1.0
-6.1500015,106.5,0.44419998,40.0,1.2342,40.0,0.2816,8.0,,0.0
-6.1500015,106.55,0.36859998,48.0,1.1808,47.0,0.26479998,8.0,,0.0
-6.1500015,106.6,0.315,49.0,1.183,49.0,0.28419998,7.0,,0.0
-6.1500015,106.65,0.3618,42.0,1.1897,42.0,0.27699998,7.0,,0.0
-6.1500015,106.7,0.2714,43.0,1.1782,43.0,0.2848,5.0,,0.0
-6.1500015,106.75,0.233,44.0,1.1919,44.0,0.3154,4.0,,0.0
-6.1500015,106.8,0.2408,40.0,1.1912999,40.0,0.2816,3.0,,0.0
-6.1500015,106.85,0.273,41.0,1.1811999,40.0,0.27339998,6.0,,0.0
-6.1500015,106.9,0.295,42.0,1.2021999,42.0,0.2766,7.0,,0.0
-6.1500015,106.95,0.3012,41.0,1.1639999,41.0,0.2674,7.0,-0.2854,2.0
-6.1500015,107.0,0.36879998,37.0,1.0900999,37.0,0.268,7.0,,0.0
-6.2000046,106.5,0.3714,33.0,1.2152,32.0,0.255,7.0,,0.0
-6.2000046,106.55,0.3624,36.0,1.2126,36.0,0.2436,7.0,,0.0
-6.2000046,106.6,0.2514,44.0,1.2218,43.0,0.22819999,7.0,,0.0
-6.2000046,106.65,0.3726,41.0,1.1574999,41.0,0.23959999,6.0,,0.0
-6.2000046,106.7,0.309,33.0,1.1970999,33.0,0.25759998,4.0,,0.0
-6.2000046,106.75,0.2848,42.0,1.1876999,41.0,0.2462,4.0,,0.0
-6.2000046,106.8,0.3014,36.0,1.2124,36.0,0.2768,3.0,,0.0
-6.2000046,106.85,0.26,40.0,1.2063999,39.0,0.2496,5.0,,0.0
-6.2000046,106.9,0.2742,40.0,1.2026,40.0,0.269,7.0,,0.0
-6.2000046,106.95,0.31379998,43.0,1.1455,43.0,0.2572,7.0,,0.0
-6.2000046,107.0,0.28939998,42.0,1.1387999,40.0,0.2572,8.0,,0.0
-6.25,106.5,0.3834,33.0,1.2119,33.0,0.2128,6.0,,0.0
-6.25,106.55,0.4048,44.0,1.1809,44.0,0.20539999,6.0,,0.0
-6.25,106.6,0.3348,37.0,1.2271999,36.0,0.19479999,6.0,-0.4811,1.0
-6.25,106.65,0.3922,32.0,1.2574999,32.0,0.1854,6.0,,0.0
-6.25,106.7,0.36859998,34.0,1.2162,33.0,0.17999999,6.0,,0.0
-6.25,106.75,0.3196,37.0,1.1894,37.0,0.17119999,4.0,,0.0
-6.25,106.8,0.3466,34.0,1.2012,34.0,0.19579999,5.0,-0.2342,1.0
-6.25,106.85,0.26119998,44.0,1.2195,43.0,0.2224,7.0,-0.2051,2.0
-6.25,106.9,0.27699998,41.0,1.2171999,40.0,0.2568,7.0,,0.0
-6.25,106.95,0.3292,41.0,1.1459,41.0,0.249,8.0,,0.0
-6.25,107.0,0.2228,43.0,1.1811,42.0,0.22199999,9.0,,0.0
-6.300003,106.5,0.49379998,28.0,1.1215,28.0,0.1674,4.0,,0.0
-6.300003,106.55,0.768,18.0,1.1172999,18.0,0.1804,5.0,,0.0
-6.300003,106.6,0.3866,42.0,1.2073,42.0,0.17199999,5.0,,0.0
-6.300003,106.65,0.39999998,37.0,1.2659999,35.0,0.1732,5.0,,0.0
-6.300003,106.7,0.5402,35.0,1.0838,34.0,0.17199999,5.0,-0.4118,1.0
-6.300003,106.75,0.3566,32.0,1.1782,30.0,0.1502,5.0,,0.0
