epochs,learning_rate,optimizer,lstm_units,dropout_rate,R2,RMSE,MBE,NSE
100,0.001,adam,16,0.0,0.5087484179066981,0.0872076730742491,-0.041499633629001345,-221.1057005237366
100,0.001,adam,16,0.1,0.5860951423108518,0.08004845963221636,0.026604997841556996,-192.3244064911784
100,0.001,adam,16,0.2,0.5224679817107327,0.08598129176676922,0.04017256560951051,-219.81745338723397
100,0.001,adam,32,0.0,0.5482889485024931,0.08362441170953624,-0.007290701535789759,-189.0181081515018
100,0.001,adam,32,0.1,0.5355179808252659,0.08479830487122635,-0.00684589739260117,-179.34775518793904
100,0.001,adam,32,0.2,0.30028640350824287,0.10407894324712132,-0.03626848441445037,-172.2318305984098
100,0.001,adam,64,0.0,0.4814131680433459,0.08960112446926062,0.021986734059141817,-194.9769635346511
100,0.001,adam,64,0.1,0.45022959533899964,0.09225573985658375,-0.030369109095865796,-174.72513902432055
100,0.001,adam,64,0.2,0.472139988413509,0.09039868209016977,-0.010797888131448373,-161.61928899844628
100,0.001,rmsprop,16,0.0,0.568583023243455,0.08172432327766159,-0.03279907192630176,-226.81301754281532
100,0.001,rmsprop,16,0.1,0.5524368210635843,0.08323958234368405,0.028239330087907157,-178.96838933527437
100,0.001,rmsprop,16,0.2,0.3504453253684996,0.10027913377824245,0.061441115103787775,-213.26667049870144
100,0.001,rmsprop,32,0.0,0.5433727098941052,0.0840782471839263,0.019683068541277444,-188.97273583876336
100,0.001,rmsprop,32,0.1,0.6128154339625522,0.07742152759578438,0.009871144849176524,-195.08650703104013
100,0.001,rmsprop,32,0.2,0.5664733249374263,0.08192390211535076,-0.005048981825590307,-167.54045970000203
100,0.001,rmsprop,64,0.0,0.48910870574401444,0.08893382441270968,-5.451884612301499e-05,-169.4928539001619
100,0.001,rmsprop,64,0.1,0.5241716294351442,0.08582778089471607,-0.016936728919737496,-172.20870439605406
100,0.001,rmsprop,64,0.2,0.5512060028533433,0.08335395999789785,-0.017867055245290298,-174.4438613989895
100,0.01,adam,16,0.0,0.4537952200379064,0.0919560834527254,-0.00929301022714439,-202.91471202676914
100,0.01,adam,16,0.1,0.5707499316719531,0.08151882365178224,-0.016644730918767926,-190.3061075493735
100,0.01,adam,16,0.2,0.5445924109647315,0.08396588103465301,-0.017142183665424537,-186.09540604637337
100,0.01,adam,32,0.0,0.4802609898829737,0.08970060557273234,0.04286332565015223,-212.3691889987168
100,0.01,adam,32,0.1,0.533456878363217,0.08498623952298269,0.01280469858429289,-169.49844794027473
100,0.01,adam,32,0.2,0.4187376014893638,0.09486124764726941,-0.04288060064730088,-186.73681036502722
100,0.01,adam,64,0.0,0.292798600128785,0.1046343482147389,-0.06105732725206372,-248.07930898165858
100,0.01,adam,64,0.1,0.6065054121760823,0.07804985475699396,-0.006123755302126417,-198.33408161676917
100,0.01,adam,64,0.2,-14.490467318604546,0.4897054951736771,-0.4736888234789409,-2059.7109813483376
100,0.01,rmsprop,16,0.0,0.5714812030433136,0.08144935622829196,-0.0009249286108646102,-188.01805889726884
100,0.01,rmsprop,16,0.1,0.1400677529812101,0.11538114251311023,-0.08181081015492042,-244.54587586221768
100,0.01,rmsprop,16,0.2,0.5946133688305428,0.07922047256862046,-0.005228126946626921,-178.43721803356203
100,0.01,rmsprop,32,0.0,0.5378399834460923,0.08458608073851633,-0.00017977935158417201,-205.0905514427274
100,0.01,rmsprop,32,0.1,0.5401232728098948,0.08437687437426085,-0.02029596827211433,-180.307084022425
100,0.01,rmsprop,32,0.2,0.4544793964063709,0.09189847328939912,-0.04961186813360067,-218.90177821907497
100,0.01,rmsprop,64,0.0,0.5892064136034887,0.07974703496746843,-0.014892121321655028,-188.90056527945663
100,0.01,rmsprop,64,0.1,0.41870041532568314,0.09486428196488103,0.02789201494318902,-185.87012467136776
100,0.01,rmsprop,64,0.2,0.592232565578829,0.0794527597655285,0.0023736639117637143,-187.22721062169484
