station,R2_base,RMSE_base,MAE_base,R2_fe,RMSE_fe,MAE_fe,delta_R2,n_features_base,n_features_fe
us_embassy_1,-6.052518313157018,55.999905383585016,46.070956166258384,-1.5281445797498092,33.586813068561476,25.704910231870024,4.5243737334072085,7,28
bundaran_hi,0.17160684580245555,27.329540531076752,20.52688120597123,0.057713006650984444,29.12706387549425,23.068415436352186,-0.11389383915147111,7,28
kelapa_gading,0.5935136155501335,14.675890152058978,11.449853192642331,0.4746039169199735,16.71730136508257,12.9717687790079,-0.11890969863015999,7,28
kebun_jeruk,0.5745237407664918,20.124988528200642,16.264816554875402,0.42153426461512644,23.42935790379197,17.74643095074126,-0.15298947615136538,7,28
lubang_buaya,0.0014261854300793297,24.60182525921244,20.408608240195935,-0.3937954112860891,28.874100581101665,22.678809277744605,-0.3952215967161684,7,28
jagakarsa,0.39495004498822417,14.328643930829077,10.651316634674519,-0.01705186997332242,18.423628641438196,14.51619633191369,-0.4120019149615466,7,28
us_embassy_2,0.5102018728115196,17.74211324276045,12.824984274541151,0.06017027966618915,24.608311096689324,18.77667225553062,-0.4500315931453305,7,28
