station,R2_grid,R2_optuna,delta
kelapa_gading,0.6344264641393034,0.6460234756284937,0.011597011489190345
bundaran_hi,0.5967562735593666,0.6413085344494267,0.04455226089006015
kebun_jeruk,0.5918504290423781,0.52020395993075,-0.07164646911162809
jagakarsa,0.4887384901850794,0.5259171417222006,0.03717865153712119
us_embassy_2,0.4158225603262248,-0.001621710947561139,-0.4174442712737859
lubang_buaya,0.0170913322410932,-0.053565212086382985,-0.07065654432747619
us_embassy_1,-0.2173057821221502,-3743226.9185415204,-3743226.701235738
