station,old_skripsi_R2,capstone_temporal_best_test_R2,delta_vs_skripsi,status,feature_set,variant,lookback,seed,test_RMSE,test_MAE,persistence_test_R2
jagakarsa,0.6329,0.6483849748549839,0.015484974854983902,naik,calendar,kalman_slow,7,2024,10.25927339596997,7.487487734376833,0.5620343940013672
kelapa_gading,0.7774,0.7764873777629395,-0.0009126222370604564,belum_naik,calendar,no_smooth,30,42,10.882595225283126,7.866030592061752,0.7396722834181365
bundaran_hi,0.7748,0.7675076265645973,-0.007292373435402788,belum_naik,calendar,no_smooth,14,123,11.008186853526423,7.695969455367648,0.7452472903713774
us_embassy_2,0.6579,0.6497312487660968,-0.00816875123390326,belum_naik,calendar,no_smooth,60,2024,15.402594872425002,10.979040448596267,0.6406778105833403
