station,feature_set,variant,seed,target_mode,lookback,n_features,epochs_run,best_train_loss,best_val_loss,val_R2,val_MSE,val_RMSE,val_MAE,test_R2,test_MSE,test_RMSE,test_MAE,persistence_test_R2,persistence_test_MSE,persistence_test_RMSE,persistence_test_MAE,lstm_units,dropout_rate,optimizer,learning_rate,activation,batch_size,max_epochs,patience,old_skripsi_R2,delta_vs_skripsi
bundaran_hi,calendar,no_smooth,123,residual,14,14,32,0.0089357635006308,0.0075921360403299,0.6646749349210489,109.12440607391989,10.44626278024442,7.475668996373813,0.7675076265645973,121.180177802152,11.008186853526423,7.695969455367648,0.7452472903713774,132.7827583856375,11.523140126963549,7.71840625117321,32,0.1,adam,0.001,tanh,4,100,15,0.7748,-0.0072923734354027
bundaran_hi,calendar,no_smooth,2024,residual,14,14,45,0.0091248685494065,0.0076509346254169,0.6620779319895101,109.96954540882068,10.486636515528737,7.671090657313664,0.7337017321979715,138.80055919176647,11.7813649120875,8.539983724816164,0.7452472903713774,132.7827583856375,11.523140126963549,7.71840625117321,32,0.1,adam,0.001,tanh,4,100,15,0.7748,-0.0410982678020285
bundaran_hi,calendar,kalman_slow,42,residual,14,14,44,0.0098755648359656,0.0076728202402591,0.6611113616254984,110.28409516333008,10.501623453701342,7.654413820449952,0.7368832512362811,137.14228095645743,11.710776274716268,8.378597257299742,0.7452472903713774,132.7827583856375,11.523140126963549,7.71840625117321,32,0.1,adam,0.001,tanh,4,100,15,0.7748,-0.0379167487637189
bundaran_hi,calendar,kalman_slow,2024,residual,14,14,43,0.0096727348864078,0.0078055113554,0.6552507039500909,112.19132147783428,10.592040477539456,7.494027938610978,0.7235825015199373,144.07492649537136,12.0031215313089,8.791187858842234,0.7452472903713774,132.7827583856375,11.523140126963549,7.71840625117321,32,0.1,adam,0.001,tanh,4,100,15,0.7748,-0.0512174984800627
bundaran_hi,calendar,no_smooth,42,residual,14,14,42,0.0092615596950054,0.0078294752165675,0.6541922549745726,112.53577117110666,10.608287852952834,7.71692391982785,0.728764234981008,141.3740921718301,11.890083774802855,8.847622398463864,0.7452472903713774,132.7827583856375,11.523140126963549,7.71840625117321,32,0.1,adam,0.001,tanh,4,100,15,0.7748,-0.046035765018992
bundaran_hi,calendar,no_smooth,42,residual,7,14,36,0.0088716791942715,0.007891908288002,0.6487100916934554,113.43312370342667,10.65049875374044,7.807886774204171,0.7387018869114104,138.26862785060058,11.758768126406803,8.887391964226447,0.7551472835702068,129.5663743073471,11.382722622788764,7.655880518370267,32,0.1,adam,0.001,tanh,4,100,15,0.7748,-0.0360981130885896
bundaran_hi,calendar,no_smooth,123,residual,7,14,42,0.0098844906315207,0.00799813400954,0.6439816382476989,114.9599630231897,10.721938398591446,7.820508360904916,0.7414130577397258,136.83398346733767,11.697605886134893,8.336812710474637,0.7551472835702068,129.5663743073471,11.382722622788764,7.655880518370267,32,0.1,adam,0.001,tanh,4,100,15,0.7748,-0.0333869422602742
bundaran_hi,calendar,no_smooth,2024,residual,7,14,38,0.0089767286553978,0.0080570429563522,0.6413595153778826,115.80665853258051,10.761350218842454,7.95806988977787,0.7512130794565084,131.64819953775296,11.473804928521009,8.569616943365945,0.7551472835702068,129.5663743073471,11.382722622788764,7.655880518370267,32,0.1,adam,0.001,tanh,4,100,15,0.7748,-0.0235869205434916
bundaran_hi,calendar,kalman_slow,2024,residual,7,14,37,0.0090905921533703,0.0080787502229213,0.6403933506214317,116.11863756683378,10.77583581755187,7.786662142178058,0.7370157395683361,139.16087034223224,11.79664657189628,8.795257648150534,0.7551472835702068,129.5663743073471,11.382722622788764,7.655880518370267,32,0.1,adam,0.001,tanh,4,100,15,0.7748,-0.0377842604316639
bundaran_hi,calendar,kalman_slow,123,residual,14,14,27,0.0092920800670981,0.0082164779305458,0.637099325980186,118.09830114224658,10.867304226083236,7.5888620063552175,0.7112045942358356,150.52656610548854,12.268926852234816,9.011694086975991,0.7452472903713774,132.7827583856375,11.523140126963549,7.71840625117321,32,0.1,adam,0.001,tanh,4,100,15,0.7748,-0.0635954057641644
