station,old_skripsi_R2,capstone_best_R2,delta_vs_skripsi,status,experiment_source,feature_set,variant,target_mode,lookback,seed,lstm_units,test_RMSE,test_MAE,persistence_test_R2
lubang_buaya,0.5121,0.6600818865841238,0.1479818865841238,naik,11_kalman,calendar,no_smooth,residual,30,123,32,14.163067712370488,9.440925469600554,0.6094130881889466
kebun_jeruk,0.7155,0.7654769855469093,0.049976985546909325,naik,11_kalman,calendar,no_smooth,residual,30,123,32,13.679926056696274,8.988571083378503,0.7343447808896637
us_embassy_2,0.6579,0.7072113695239242,0.04931136952392412,naik,14_focused_grid,calendar,kalman_slow,residual,60,42,32,14.082193242768206,10.299256648697526,0.6406778105833403
kelapa_gading,0.7774,0.8129705985355682,0.03557059853556821,naik,14_focused_grid,calendar,no_smooth,residual,75,42,32,10.839295917450896,7.451639094241222,0.8006160049231791
us_embassy_1,0.6113,0.640917052482266,0.029617052482266093,naik,11_kalman,univariate,no_smooth,residual,30,2024,32,12.636085989843243,9.40239147732168,0.6027120662279765
jagakarsa,0.6329,0.6483849748549839,0.015484974854983902,naik,12_temporal,calendar,kalman_slow,residual,7,2024,32,10.25927339596997,7.487487734376833,0.5620343940013672
bundaran_hi,0.7748,0.7772479688701539,0.0024479688701538604,naik,14_focused_grid,calendar,no_smooth,residual,60,42,32,11.513157803400915,7.991413638857071,0.7558225401455025
