learning_rate,optimizer,lstm_units,dropout_rate,val_R2,val_MSE,val_RMSE,val_MAE,test_R2,test_MSE,test_RMSE,test_MAE,epochs_run,best_train_loss,best_val_loss,station
0.001,adam,32,0.0,0.4418997053546262,240.52813488695892,15.508969497905364,11.471090898140154,0.01709133224109327,595.7549375720333,24.408091641339627,20.45047228104051,60,0.00808794517070055,0.004796207882463932,lubang_buaya
0.001,adam,64,0.2,0.41305554520714427,252.95929127447343,15.904694001283817,11.721511343639602,0.04238835259305895,580.422053373437,24.091949970341485,19.903872617509432,61,0.008873876184225082,0.0050440882332623005,lubang_buaya
0.001,adam,64,0.0,0.41270838065625715,253.10891105200253,15.909396941807772,11.793287494426707,0.09181879567673445,550.4615580604623,23.461917186378063,18.73337569968665,48,0.007422308903187513,0.005047072656452656,lubang_buaya
0.001,adam,32,0.2,0.39329992118865764,261.4735017923409,16.170142293509382,12.357838797898959,0.12157667717060117,532.4248824127885,23.074333845482702,18.08924858811147,58,0.009082145057618618,0.005213864613324404,lubang_buaya
0.001,adam,16,0.0,0.36513785354454065,273.61069231166147,16.54118170844095,12.449431750122082,0.07105166920130201,563.0488090866751,23.728649541991956,18.917975925128253,67,0.0076899598352611065,0.00545588368549943,lubang_buaya
0.001,rmsprop,64,0.1,0.36317004761499794,274.45877050583834,16.566797231385383,12.252004894754206,-0.9141241433497127,1160.177895395405,34.061384226061705,28.109922373952237,47,0.009838408790528774,0.005472795572131872,lubang_buaya
0.001,rmsprop,16,0.1,0.356035515313585,277.53358656347905,16.659339319537224,12.829287438014811,-0.46900118046385963,890.3825302059042,29.839278312417413,25.77721889084753,76,0.009597563184797764,0.00553410779684782,lubang_buaya
0.001,rmsprop,64,0.2,0.35586454368009657,277.6072713268022,16.66155068794025,12.108753668787033,-0.7267436484951986,1046.6039096569357,32.35125823916182,26.589707205181607,62,0.009646791964769363,0.005535577889531851,lubang_buaya
0.001,adam,16,0.1,0.35413867582934766,278.35107988448414,16.683856864780523,12.91854475076859,-0.026828945895715384,622.3756434604046,24.94745765524825,19.64423102241228,54,0.009810204617679119,0.00555040966719389,lubang_buaya
0.001,adam,64,0.1,0.3539058624073972,278.4514170079289,16.68686360608035,12.875170289704787,-0.12101804439972086,679.4649970695883,26.066549389391536,21.688181560135934,37,0.009605571627616882,0.005552409682422876,lubang_buaya
0.001,rmsprop,16,0.2,0.3494244034477275,280.38282069196873,16.744635579551105,12.653276770423911,-0.49305570603141,904.962320625797,30.08259165407457,26.370540303999885,100,0.009801152162253857,0.005590921267867088,lubang_buaya
0.001,rmsprop,32,0.2,0.34149380725291867,283.8007216133274,16.84638601045718,12.459203334513777,-0.6956467379696274,1027.755629448882,32.05862800322063,26.288745645871934,60,0.009761113673448563,0.005659076850861311,lubang_buaya
0.001,adam,32,0.1,0.31786781333191627,293.9829707667349,17.145931609764894,13.036242477196783,-0.17072991076046495,709.5960670375242,26.6382444436101,22.399074074932756,42,0.009906318038702011,0.005862114485353231,lubang_buaya
0.001,adam,16,0.2,0.285126612299497,308.09366035755625,17.552596969040117,13.683547735796411,0.016362836979923356,596.1964889216916,24.41713514976095,19.505195725621544,67,0.009723941795527935,0.00614348566159606,lubang_buaya
0.001,rmsprop,64,0.0,0.2649967476893761,316.76915979135595,17.79800999525947,13.846885610617127,-0.9638302165032575,1190.3054540179774,34.500803672059256,28.811758883867192,27,0.010448917746543884,0.006316477432847023,lubang_buaya
0.001,rmsprop,16,0.0,0.24381791565226885,325.89673957915454,18.05261032591006,14.223260849550744,-0.7939103592990553,1087.3146093530804,32.97445389014169,27.524762728240557,30,0.011648607440292835,0.006498484872281551,lubang_buaya
0.001,rmsprop,32,0.1,0.20873446928291717,341.01688196501163,18.46664241179245,14.617151716012668,-1.1114170137829125,1279.7599130983647,35.773732166190946,31.107596707300225,38,0.011440125294029713,0.006799985654652119,lubang_buaya
0.001,rmsprop,32,0.0,0.20485822581144852,342.6874519709861,18.511819250710776,14.734145164587863,-0.9472319720046825,1180.2450217118912,34.35469431841726,29.575624925204938,41,0.009672768414020538,0.006833297666162252,lubang_buaya
0.01,adam,16,0.2,-1.2278285055344895e-09,430.97654219143857,20.759974522899554,16.910231097701928,-0.9341753621785336,1172.331224604358,34.239322782501965,28.428633027523748,34,0.015983177348971367,0.008593810722231865,lubang_buaya
0.01,adam,64,0.0,-1.4379403001640867e-08,430.9765478594586,20.759974659412727,16.91027911042073,-0.9344279587283708,1172.484326969527,34.24155847752154,28.43103970951017,36,0.015713244676589966,0.008593808859586716,lubang_buaya
0.01,adam,32,0.1,-1.500223412165269e-08,430.9765481278842,20.759974665877706,16.91020400338758,-0.9340328331388328,1172.2448357241553,34.238061214446056,28.427274899929756,35,0.015972061082720757,0.008593807928264141,lubang_buaya
0.01,adam,64,0.1,-1.8755389463720462e-08,430.97654974540615,20.75997470483541,16.910199520872336,-0.9340092540151237,1172.2305440815703,34.23785250394029,28.427050209702813,36,0.016007233411073685,0.00859380979090929,lubang_buaya
0.01,adam,32,0.0,-1.9556249064578424e-08,430.9765500905578,20.759974713148324,16.91019862436929,-0.9340045382260969,1172.2276857747006,34.237810762002596,28.427005271657425,36,0.015981828793883324,0.00859380979090929,lubang_buaya
0.01,adam,16,0.1,-5.402398395304431e-08,430.97656494534306,20.759975070922966,16.910169936271746,-0.9338536392630612,1172.136223764799,34.23647504876632,28.42556725420496,32,0.01603168621659279,0.008593808859586716,lubang_buaya
0.01,adam,64,0.2,-5.969609806477649e-08,430.97656738989116,20.759975129799436,16.91031766005181,-0.934630794365241,1172.607268536882,34.24335364033263,28.432972045461913,34,0.015917595475912094,0.00859380979090929,lubang_buaya
0.01,adam,16,0.0,-9.544603662980933e-08,430.976582797276,20.75997550088333,16.91014622874669,-0.933728947236421,1172.0606461521647,34.23537127229913,28.424378892560217,34,0.015974126756191254,0.00859380979090929,lubang_buaya
0.01,adam,32,0.2,-1.434175587178288e-07,430.97660347187673,20.759975998827088,16.910124613062084,-0.9336152647032165,1171.9917415502482,34.23436492108841,28.423295386354706,34,0.015980660915374756,0.008593808859586716,lubang_buaya
0.01,rmsprop,16,0.0,-0.004897927132141655,433.08743335899743,20.810752830183667,16.941016464516245,-0.8413867779881454,1116.090742660311,33.407944304615796,27.490558696099942,16,0.013042690232396126,0.008635900914669037,lubang_buaya
0.01,rmsprop,32,0.2,-0.00715981599147697,434.0622543972182,20.834160755768835,16.954449965025745,-0.8632617795026025,1129.3494925209136,33.60579551983428,27.701956802913372,17,0.013084511272609234,0.008655339479446411,lubang_buaya
0.01,rmsprop,32,0.0,-0.007884020796667723,434.3743696796145,20.841649879019045,16.972348698190007,-0.6179776692980308,980.6793011230494,31.315799544687493,25.54079419825884,16,0.013022259809076786,0.008661563508212566,lubang_buaya
0.01,rmsprop,64,0.2,-0.009396424432242645,435.02618016807213,20.85728122666212,16.980452388466137,-0.9679647261534168,1192.8114391815204,34.5371023564734,28.57382201863562,16,0.013039265759289265,0.008674560114741325,lubang_buaya
0.01,rmsprop,16,0.1,-0.01150704964814131,435.9358101243653,20.879075892490196,16.974114012303477,-0.7650814568601225,1069.8410011368292,32.708424008760026,26.845159476951643,16,0.013083874247968197,0.008692697621881962,lubang_buaya
0.01,rmsprop,64,0.1,-0.021645897977709883,440.30541591388106,20.983455766719672,17.115448614364922,-0.5786085919736665,956.8171428442721,30.932460989133602,25.070773536974894,16,0.013089428655803204,0.008779830299317837,lubang_buaya
0.01,rmsprop,64,0.0,-0.02214334960004427,440.51980589371897,20.988563692966675,17.076421894250835,-0.7148401145729437,1039.3890082715316,32.2395565768441,26.296348728108057,17,0.013088512234389782,0.008784105069935322,lubang_buaya
0.01,rmsprop,32,0.1,-0.023281730288537972,441.01042126594115,21.000248123913707,17.08098619049243,-0.7388994170422905,1053.9716940396138,32.46493021769204,26.462438310200675,16,0.013096466660499573,0.008793887682259083,lubang_buaya
0.01,rmsprop,16,0.2,-0.027896629299936082,442.99933448199414,21.047549369985905,17.138998155659547,-0.683073192455923,1020.1346244986913,31.93954640408488,25.98586401093532,17,0.013052847236394882,0.008833548054099083,lubang_buaya
