station,learning_rate,optimizer,lstm_units,dropout_rate,R2,MSE,RMSE,MAE
us_embassy_1,0.0003074326026550764,adam,128,0.0,-3743226.9185415204,1664472542.1768758,40797.94776918167,19618.68420797269
us_embassy_2,0.0004465965132556476,rmsprop,128,0.1,-0.001621710947561139,643.7204455815632,25.371646489370043,21.658302998909022
bundaran_hi,0.000816845589476017,adam,128,0.05,0.6413085344494267,323.4068414724153,17.983515826234182,13.357600500287468
kelapa_gading,0.00042116165756953775,adam,128,0.05,0.6460234756284937,187.5587641208958,13.695209531836152,10.674044025647971
jagakarsa,0.00111283191738115,adam,128,0.0,0.5259171417222006,160.8693105730611,12.683426610071157,8.429898267322116
lubang_buaya,0.0015930522616241021,adam,16,0.05,-0.053565212086382985,638.5808750529267,25.270157796359854,20.31078038947547
kebun_jeruk,0.0006990551259891295,adam,64,0.0,0.52020395993075,456.7227131551889,21.37107187660902,17.561973859180945
