station,R2_median,R2_mean,R2_std,R2_min,R2_max,RMSE_median,MAE_median,n_seeds
kelapa_gading,0.7413155340487932,0.7251204600193125,0.05572134224012586,0.6630955861156995,0.7709502598934448,11.70756628312322,8.068924586124279,3
kebun_jeruk,0.6197126913759488,0.6428588727358636,0.04506143826621133,0.6140745113783097,0.6947894154533323,19.026279952027156,14.464945154155002,3
us_embassy_1,0.6079133728979784,0.5943751482534286,0.06983050523570539,0.5187668260535037,0.6564452458088038,13.204020513346476,9.864815840300391,3
us_embassy_2,0.6002381645691368,0.6002094802023125,0.012505907400552298,0.5876892552904994,0.612701020747301,16.02866887146509,11.284930647821986,3
lubang_buaya,0.5536806407189255,0.5320543931998838,0.038852735039689314,0.4872006454192297,0.5552818934614964,16.44750795951148,12.245585883584095,3
bundaran_hi,0.5194873949871543,0.5071404624648533,0.19578030529627694,0.30547890734693717,0.6964550850604685,20.814523354798595,14.568433601168145,3
jagakarsa,0.3828787834260615,0.4053024188223234,0.049697889684785876,0.3707674806700907,0.46226099237081797,14.470872303099947,9.81737995765665,3
