station,R2_uni,RMSE_uni,MAE_uni,R2_multi,RMSE_multi,MAE_multi,delta_R2
us_embassy_1,0.6240772996311301,12.928985780249354,10.01086495032995,-5.1317946272109864,52.21664715703031,44.4099322105738,-5.755871926842117
us_embassy_2,0.5517169182546557,16.973560832591556,12.771772237382931,0.35332918477609043,20.386300307790318,14.99062745653827,-0.1983877334785653
bundaran_hi,0.6093908638211069,18.766586209881922,14.00196597043563,0.5919933569491845,19.17995998639702,14.654796099120087,-0.01739750687192232
kelapa_gading,0.6748334574126087,13.1260597697587,9.999036522747742,0.6354889746145054,13.897503284149058,10.827940734600027,-0.03934448279810332
jagakarsa,0.45960481914444684,13.541451160970245,9.057799338736729,0.39345670859062354,14.34631544597108,10.2641646664045,-0.0661481105538233
lubang_buaya,0.3536317578336825,19.79325628002454,13.653332112072146,-0.2836019952083526,27.89282066095233,23.409971744830116,-0.6372337530420351
kebun_jeruk,0.6876600209997984,17.242957736366566,11.874908685074214,0.46118967395321553,22.647273788963698,18.0990898496691,-0.22647034704658286
