station,feature_set,variant,seed,target_mode,n_features,epochs_run,best_train_loss,best_val_loss,val_R2,val_MSE,val_RMSE,val_MAE,test_R2,test_MSE,test_RMSE,test_MAE,persistence_test_R2,persistence_test_MSE,persistence_test_RMSE,persistence_test_MAE,lstm_units,dropout_rate,optimizer,learning_rate,activation
bundaran_hi,calendar,no_smooth,2024,residual,14,45,0.0094135655090212,0.008173432201147,0.6181214874276205,117.47954610225727,10.838798185327434,7.931417982895577,0.7248827787190313,149.95413506335976,12.245576142565108,9.059322167496072,0.7443129923920673,139.36359161475184,11.805235771247936,7.872188890590466,32,0.1,adam,0.001,tanh
bundaran_hi,calendar,kalman_slow,2024,residual,14,39,0.0090454034507274,0.0082982117310166,0.6122914559055506,119.27307319117622,10.921221231674425,8.225486738394148,0.7488364427726013,136.89806042714852,11.700344457628097,8.415462241758718,0.7443129923920673,139.36359161475184,11.805235771247936,7.872188890590466,32,0.1,adam,0.001,tanh
bundaran_hi,calendar,no_smooth,42,residual,14,47,0.0095208156853914,0.0083168679848313,0.6114197184591332,119.5412509392134,10.933492165781864,8.387297855742634,0.7431311679774434,140.00775142803636,11.832487119284616,8.561873979785252,0.7443129923920673,139.36359161475184,11.805235771247936,7.872188890590466,32,0.1,adam,0.001,tanh
bundaran_hi,univariate,no_smooth,42,residual,1,33,0.0104581415653228,0.0083736144006252,0.6087684958257025,120.35686224316818,10.970727516585589,8.221142023468197,0.7471529389763873,137.81566331097284,11.739491612117316,8.498433324889332,0.7443129923920673,139.36359161475184,11.805235771247936,7.872188890590466,32,0.1,adam,0.001,tanh
bundaran_hi,univariate,no_smooth,123,residual,1,46,0.0099214697256684,0.0083975419402122,0.607650569086926,120.7007766597253,10.986390520080985,8.39684951726724,0.7547257218493407,133.6880768936303,11.562356026936303,8.428039979957688,0.7443129923920673,139.36359161475184,11.805235771247936,7.872188890590466,32,0.1,adam,0.001,tanh
bundaran_hi,univariate,no_smooth,2024,residual,1,31,0.0105090104043483,0.0084619438275694,0.6046415416253528,121.62646157981582,11.028438764386182,8.305215224314784,0.7436591925063036,139.71994879194975,11.820319318527302,8.794642637404825,0.7443129923920673,139.36359161475184,11.805235771247936,7.872188890590466,32,0.1,adam,0.001,tanh
bundaran_hi,calendar,kalman_slow,42,residual,14,64,0.0102316858246922,0.0084640039131045,0.6045453837601599,121.6560431927768,11.029779834283946,8.251971931908757,0.7579768002191385,131.91605897815296,11.485471648049677,8.007360343063258,0.7443129923920673,139.36359161475184,11.805235771247936,7.872188890590466,32,0.1,adam,0.001,tanh
bundaran_hi,calendar,no_smooth,123,residual,14,32,0.0094230091199278,0.0086324457079172,0.5966754527083988,124.07711664252142,11.138990826934071,8.148450190043866,0.7440875115516693,139.48649117094035,11.81043992283693,8.490257111895415,0.7443129923920673,139.36359161475184,11.805235771247936,7.872188890590466,32,0.1,adam,0.001,tanh
bundaran_hi,calendar,kalman_slow,123,residual,14,64,0.0113235954195261,0.0089271161705255,0.5829078568990114,128.3125235935727,11.327511800637096,8.192876159032778,0.745767661249023,138.5707164569091,11.77160636688592,8.086847650727313,0.7443129923920673,139.36359161475184,11.805235771247936,7.872188890590466,32,0.1,adam,0.001,tanh
jagakarsa,univariate,no_smooth,2024,residual,1,29,0.0117776794359087,0.0095603307709097,0.4135922340477673,163.34715679822378,12.780733812978962,8.564149161514832,0.5833310002083681,113.35603594405698,10.646879164527835,7.463332313622036,0.512661314607272,132.5819332994137,11.514422838310816,8.191836464616811,32,0.1,adam,0.001,tanh
jagakarsa,univariate,no_smooth,42,residual,1,31,0.0117475008592009,0.0096024153754115,0.4110109818585882,164.0661790052318,12.808832070303357,8.650864637769518,0.5859734455279937,112.63715086553788,10.613065102294335,7.492877419788324,0.512661314607272,132.5819332994137,11.514422838310816,8.191836464616811,32,0.1,adam,0.001,tanh
jagakarsa,calendar,kalman_slow,123,residual,14,44,0.0103332111611962,0.0096417162567377,0.4086002895606885,164.73769080238176,12.83501814577532,8.857546817963446,0.4556743537257087,148.08540485420534,12.16903467224107,9.720897880490671,0.512661314607272,132.5819332994137,11.514422838310816,8.191836464616811,32,0.1,adam,0.001,tanh
jagakarsa,univariate,no_smooth,123,residual,1,31,0.0114180799573659,0.0096565289422869,0.4076917248821236,164.9907765656132,12.844873551951114,8.677224002437312,0.5849722263214492,112.90953551719592,10.625889869427215,7.461358377851151,0.512661314607272,132.5819332994137,11.514422838310816,8.191836464616811,32,0.1,adam,0.001,tanh
jagakarsa,calendar,no_smooth,123,residual,14,54,0.0103899482637643,0.0097730457782745,0.4005448927091064,166.9815665642428,12.922134752595747,8.93524704811142,0.6171469239087217,104.15631370799984,10.205700059672528,7.398678915946368,0.512661314607272,132.5819332994137,11.514422838310816,8.191836464616811,32,0.1,adam,0.001,tanh
jagakarsa,calendar,no_smooth,2024,residual,14,40,0.0100387819111347,0.009779866784811,0.4001264864413875,167.0981159658481,12.926643646587005,9.010168962139936,0.6165404795608003,104.321298689689,10.213779843411986,7.260193296897043,0.512661314607272,132.5819332994137,11.514422838310816,8.191836464616811,32,0.1,adam,0.001,tanh
jagakarsa,calendar,no_smooth,42,residual,14,58,0.0098826605826616,0.0097956415265798,0.3991588062490966,167.36766868543737,12.93706569069808,8.674517826776063,0.6180410788903424,103.91305619595347,10.19377536518995,7.325979276886374,0.512661314607272,132.5819332994137,11.514422838310816,8.191836464616811,32,0.1,adam,0.001,tanh
jagakarsa,calendar,kalman_slow,42,residual,14,34,0.0104299141094088,0.0101052792742848,0.3801665009879408,172.65808133953317,13.139942212183932,8.899433344255808,0.5990334887384035,109.08412741447609,10.444334704253595,7.470104390886007,0.512661314607272,132.5819332994137,11.514422838310816,8.191836464616811,32,0.1,adam,0.001,tanh
jagakarsa,calendar,kalman_slow,2024,residual,14,35,0.0098700821399688,0.0103082647547125,0.3677157977884409,176.1262942211861,13.271258200381231,9.25578954697931,0.5868813028058173,112.39016560321096,10.60142281032178,7.9625455077815985,0.512661314607272,132.5819332994137,11.514422838310816,8.191836464616811,32,0.1,adam,0.001,tanh
kebun_jeruk,univariate,no_smooth,2024,residual,1,38,0.010544953867793,0.0123631712049245,0.5622639452314071,191.35330167684427,13.833051061744992,10.839253013460144,0.746455270126833,202.31897677228756,14.223887540763512,9.679862640810676,0.7343447808896637,211.9826830220746,14.559625098953427,9.229995008868675,32,0.1,adam,0.001,tanh
kebun_jeruk,univariate,no_smooth,123,residual,1,45,0.0102593973278999,0.0125043094158172,0.5572667718377299,193.53778161061928,13.911785708909523,10.952286523181783,0.7489766433161699,200.3070176044401,14.15298617269303,9.601224011627528,0.7343447808896637,211.9826830220746,14.559625098953427,9.229995008868675,32,0.1,adam,0.001,tanh
kebun_jeruk,univariate,no_smooth,42,residual,1,36,0.010455572977662,0.01251648273319,0.5568356884670507,193.72622673726312,13.918556920071245,10.927695837518591,0.747374399129656,201.58554705570103,14.198082513343168,9.675563494463178,0.7343447808896637,211.9826830220746,14.559625098953427,9.229995008868675,32,0.1,adam,0.001,tanh
kebun_jeruk,calendar,kalman_slow,2024,residual,14,39,0.009468509815633297,0.012603665702044964,0.5537488606186294,195.075612272379,13.966947135017696,10.750124613033014,0.7631645534281166,188.9856091183628,13.747203683599178,9.305568266002057,0.7343447808896637,211.9826830220746,14.559625098953427,9.229995008868675,32,0.1,adam,0.001,tanh
kebun_jeruk,calendar,no_smooth,123,residual,14,40,0.009317181073129177,0.012654301710426807,0.5519560706207042,195.85931807312136,13.994974743568541,10.763693062396245,0.7654769855469093,187.1403769166777,13.679926056696274,8.988571083378503,0.7343447808896637,211.9826830220746,14.559625098953427,9.229995008868675,32,0.1,adam,0.001,tanh
kebun_jeruk,calendar,kalman_slow,123,residual,14,54,0.009527222253382206,0.012795323505997658,0.5469629723603546,198.04201659042735,14.072740194803119,11.079745732879276,0.7512212203867126,198.5159311305627,14.08956816692984,9.548435106843819,0.7343447808896637,211.9826830220746,14.559625098953427,9.229995008868675,32,0.1,adam,0.001,tanh
kebun_jeruk,calendar,no_smooth,2024,residual,14,42,0.009218445047736168,0.012818613089621067,0.5461383545230363,198.40249259891135,14.08554197036491,10.902797067905167,0.7629142488353614,189.18534258990042,13.754466277900441,9.164702126240481,0.7343447808896637,211.9826830220746,14.559625098953427,9.229995008868675,32,0.1,adam,0.001,tanh
kebun_jeruk,calendar,no_smooth,42,residual,14,44,0.00912538543343544,0.01285531371831894,0.5448389729476243,198.97050830582992,14.105690635549538,11.102340063874378,0.755632857710823,194.99561363174914,13.96408298570834,9.656028786244809,0.7343447808896637,211.9826830220746,14.559625098953427,9.229995008868675,32,0.1,adam,0.001,tanh
kebun_jeruk,calendar,kalman_slow,42,residual,14,41,0.009230490773916245,0.012935352511703968,0.5420049965601167,200.20936156618217,14.149535736771796,10.95922738383648,0.7642555627776274,188.11502547281654,13.71550310680642,9.223900153813409,0.7343447808896637,211.9826830220746,14.559625098953427,9.229995008868675,32,0.1,adam,0.001,tanh
kelapa_gading,calendar,kalman_slow,42,residual,14,54,0.0123225357383489,0.0117489201948046,0.6304018386472783,126.46611842805665,11.245715558738654,8.357583669417386,0.7635222121740767,125.30062936684558,11.19377636755557,8.068263256305794,0.7396722834181365,137.93780392327184,11.744692585303024,8.037986318830884,32,0.1,adam,0.001,tanh
