station,grid,optuna,univariate,multivariate,multi_no_coords,multi_with_coords,no_ndvi,with_ndvi
kelapa_gading,0.6344264641393034,0.6460234756284937,0.6748334574126087,0.6354889746145054,0.7475882721641327,0.7188579025943549,0.6135741048811536,0.7740668478560944
bundaran_hi,0.5967562735593666,0.6413085344494267,0.6093908638211069,0.5919933569491845,0.6759736406474783,0.7579839732640079,0.5173048869146806,0.4749131243938889
kebun_jeruk,0.5918504290423781,0.52020395993075,0.6876600209997984,0.4611896739532155,0.7133635122091461,0.7073619751650171,0.5513024671318008,0.6477477045492298
jagakarsa,0.4887384901850794,0.5259171417222006,0.4596048191444468,0.3934567085906235,0.4780320596359982,0.540931794539439,0.4890043211176195,0.508261146787002
us_embassy_2,0.4158225603262248,-0.0016217109475611,0.5517169182546557,0.3533291847760904,0.6091388008170713,0.6285921195486719,0.4218631585497359,0.5156017302903704
lubang_buaya,0.0170913322410932,-0.0535652120863829,0.3536317578336825,-0.2836019952083526,0.4675667589945611,0.4509657439647251,-0.2323819096813368,-0.0386690525179096
us_embassy_1,-0.2173057821221502,-3743226.91854152,0.6240772996311301,-5.131794627210986,0.6070060552760398,0.6448394775206194,-5973.522652851766,-1291.111075554875
