station,feature_set,variant,seed,target_mode,n_features,epochs_run,best_train_loss,best_val_loss,val_R2,val_MSE,val_RMSE,val_MAE,test_R2,test_MSE,test_RMSE,test_MAE,persistence_test_R2,persistence_test_MSE,persistence_test_RMSE,persistence_test_MAE,lstm_units,dropout_rate,optimizer,learning_rate,activation,prediction_path,model_path
kelapa_gading,calendar,kalman_slow,42,residual,14,54,0.0123225357383489,0.0117489201948046,0.6304018386472783,126.46611842805665,11.245715558738654,8.357583669417386,0.7635222121740767,125.30062936684558,11.19377636755557,8.068263256305794,0.7396722834181365,137.93780392327184,11.744692585303024,8.037986318830884,32,0.1,adam,0.001,tanh,C:\Users\User\Downloads\predict_model\CAPSTONE\results\metrics\11_best_predictions_kelapa_gading.csv,C:\Users\User\Downloads\predict_model\CAPSTONE\results\models\11_best_kalman_kelapa_gading.keras
kebun_jeruk,univariate,no_smooth,2024,residual,1,38,0.010544953867793,0.0123631712049245,0.5622639452314071,191.35330167684427,13.833051061744992,10.839253013460144,0.746455270126833,202.31897677228756,14.223887540763512,9.679862640810676,0.7343447808896637,211.9826830220746,14.559625098953427,9.229995008868675,32,0.1,adam,0.001,tanh,C:\Users\User\Downloads\predict_model\CAPSTONE\results\metrics\11_best_predictions_kebun_jeruk.csv,C:\Users\User\Downloads\predict_model\CAPSTONE\results\models\11_best_kalman_kebun_jeruk.keras
bundaran_hi,calendar,no_smooth,2024,residual,14,45,0.0094135655090212,0.008173432201147,0.6181214874276205,117.47954610225727,10.838798185327434,7.931417982895577,0.7248827787190313,149.95413506335976,12.245576142565108,9.059322167496072,0.7443129923920673,139.36359161475184,11.805235771247936,7.872188890590466,32,0.1,adam,0.001,tanh,C:\Users\User\Downloads\predict_model\CAPSTONE\results\metrics\11_best_predictions_bundaran_hi.csv,C:\Users\User\Downloads\predict_model\CAPSTONE\results\models\11_best_kalman_bundaran_hi.keras
us_embassy_2,univariate,no_smooth,2024,residual,1,68,0.0084582269191741,0.0111516611650586,0.5436561915476542,151.77774958145625,12.319811264035511,8.40747030563389,0.6006077768149334,256.6806780049542,16.021257066939352,11.683469438630455,0.5568445413990055,284.80635568758066,16.87620679203655,12.289939918466036,32,0.1,adam,0.001,tanh,C:\Users\User\Downloads\predict_model\CAPSTONE\results\metrics\11_best_predictions_us_embassy_2.csv,C:\Users\User\Downloads\predict_model\CAPSTONE\results\models\11_best_kalman_us_embassy_2.keras
lubang_buaya,univariate,no_smooth,42,residual,1,35,0.0079394485801458,0.0056312787346541,0.3644107989349279,273.9240268440305,16.55065034504779,11.57100157534122,0.5869686254625237,243.73808681545844,15.612113464084818,10.995277525385632,0.6094130881889466,230.4931598152632,15.182001179530424,8.432127837220188,32,0.1,adam,0.001,tanh,C:\Users\User\Downloads\predict_model\CAPSTONE\results\metrics\11_best_predictions_lubang_buaya.csv,C:\Users\User\Downloads\predict_model\CAPSTONE\results\models\11_best_kalman_lubang_buaya.keras
jagakarsa,univariate,no_smooth,2024,residual,1,29,0.0117776794359087,0.0095603307709097,0.4135922340477673,163.34715679822378,12.780733812978962,8.564149161514832,0.5833310002083681,113.35603594405698,10.646879164527835,7.463332313622036,0.512661314607272,132.5819332994137,11.514422838310816,8.191836464616811,32,0.1,adam,0.001,tanh,C:\Users\User\Downloads\predict_model\CAPSTONE\results\metrics\11_best_predictions_jagakarsa.csv,C:\Users\User\Downloads\predict_model\CAPSTONE\results\models\11_best_kalman_jagakarsa.keras
us_embassy_1,calendar,no_smooth,123,residual,14,65,0.0097006224095821,0.0147383091971278,0.6020386480618451,163.75053633145663,12.796504848256676,9.674002499848648,-0.2806253252993205,569.4458732311373,23.863065042679185,18.80288046579662,0.6027120662279765,176.65898830957954,13.291312512674567,9.644130931941175,32,0.1,adam,0.001,tanh,C:\Users\User\Downloads\predict_model\CAPSTONE\results\metrics\11_best_predictions_us_embassy_1.csv,C:\Users\User\Downloads\predict_model\CAPSTONE\results\models\11_best_kalman_us_embassy_1.keras
