station,R2_median,R2_std,R2_skripsi,best_prev_exp,R2_best_prev,vs_skripsi,vs_best_prev
kelapa_gading,0.7413155340487932,0.05572134224012586,0.7774,07_ndvi,0.7740668478560944,-0.036084465951206735,-0.03275131380730112
kebun_jeruk,0.6197126913759488,0.04506143826621133,0.7155,06_no_coords,0.7133635122091461,-0.09578730862405127,-0.09365082083319731
us_embassy_1,0.6079133728979784,0.06983050523570539,0.6113,06_with_coords,0.6448394775206194,-0.0033866271020215333,-0.03692610462264101
us_embassy_2,0.6002381645691368,0.012505907400552298,0.6579,06_with_coords,0.6285921195486719,-0.05766183543086323,-0.02835395497953508
lubang_buaya,0.5536806407189255,0.038852735039689314,0.5121,06_no_coords,0.4675667589945611,0.04158064071892553,0.0861138817243644
bundaran_hi,0.5194873949871543,0.19578030529627694,0.7748,06_with_coords,0.7579839732640079,-0.2553126050128457,-0.23849657827685355
jagakarsa,0.3828787834260615,0.049697889684785876,0.6329,06_with_coords,0.540931794539439,-0.2500212165739385,-0.15805301111337744
