station,R2_skripsi,R2_base,R2_fe,R2_cal,cal_vs_skripsi,cal_vs_baseline,fe_vs_baseline
us_embassy_1,0.6113,-6.052518313157018,-1.5281445797498092,-1.3900654885536148,-2.0013654885536147,4.6624528246034025,4.5243737334072085
bundaran_hi,0.7748,0.17160684580245555,0.057713006650984444,-0.28604196213252164,-1.0608419621325216,-0.4576488079349772,-0.11389383915147111
kelapa_gading,0.7774,0.5935136155501335,0.4746039169199735,0.5696013530933975,-0.20779864690660244,-0.023912262456735944,-0.11890969863015999
kebun_jeruk,0.7155,0.5745237407664918,0.42153426461512644,0.5611492713800794,-0.1543507286199206,-0.013374469386412402,-0.15298947615136538
lubang_buaya,0.5121,0.0014261854300793297,-0.3937954112860891,-0.4853952643048396,-0.9974952643048396,-0.4868214497349189,-0.3952215967161684
jagakarsa,0.6329,0.39495004498822417,-0.01705186997332242,0.09503813527394234,-0.5378618647260577,-0.29991190971428183,-0.4120019149615466
us_embassy_2,0.6579,0.5102018728115196,0.06017027966618915,-0.2756510396944536,-0.9335510396944536,-0.7858529125059732,-0.4500315931453305
