latitude,longitude,AOT_L2_Mean,AOT_L2_Num,AE_L2_Mean,AE_L2_Num,AOT_L3_Merged_Mean,AOT_L3_Merged_Num,AE_L3_Merged_Mean,AE_L3_Merged_Num
-5.9000015,106.5,0.96,6.0,1.2534,6.0,,0.0,,0.0
-5.9000015,106.55,0.84639996,4.0,1.2572999,4.0,,0.0,,0.0
-5.9000015,106.6,0.96199995,5.0,1.2586,5.0,,0.0,,0.0
-5.9000015,106.65,0.94439995,5.0,1.2687999,5.0,,0.0,,0.0
-5.9000015,106.7,0.8538,3.0,1.2949,3.0,,0.0,,0.0
-5.9000015,106.75,0.8358,3.0,1.324,3.0,,0.0,,0.0
-5.9000015,106.8,0.80079997,2.0,1.3396,2.0,,0.0,,0.0
-5.9000015,106.85,0.7994,4.0,1.3276,4.0,,0.0,,0.0
-5.9000015,106.9,0.8244,7.0,1.3089999,7.0,,0.0,,0.0
-5.9000015,106.95,0.79219997,7.0,1.3206999,7.0,,0.0,,0.0
-5.9000015,107.0,0.812,6.0,1.3249999,6.0,,0.0,,0.0
-5.9500046,106.5,1.0708,5.0,1.2889999,5.0,,0.0,,0.0
-5.9500046,106.55,1.0186,6.0,1.267,6.0,,0.0,,0.0
-5.9500046,106.6,1.3258,9.0,0.94589996,9.0,,0.0,,0.0
-5.9500046,106.65,0.88619995,3.0,1.2495999,3.0,,0.0,,0.0
-5.9500046,106.7,0.93299997,2.0,1.3143,2.0,,0.0,,0.0
-5.9500046,106.75,0.8286,1.0,1.3764,1.0,,0.0,,0.0
-5.9500046,106.8,0.8188,3.0,1.3528,3.0,,0.0,,0.0
-5.9500046,106.85,0.90199995,3.0,1.3657,3.0,,0.0,,0.0
-5.9500046,106.9,0.807,4.0,1.339,4.0,,0.0,,0.0
-5.9500046,106.95,0.84599996,4.0,1.3373,4.0,,0.0,,0.0
-5.9500046,107.0,0.93539995,4.0,1.2459999,4.0,,0.0,,0.0
-6.0,106.5,1.1273999,4.0,1.2637,4.0,,0.0,,0.0
-6.0,106.55,1.1536,4.0,1.2296,4.0,1.0596,1.0,,0.0
-6.0,106.6,1.0361999,2.0,1.2148999,2.0,1.0699999,1.0,,0.0
-6.0,106.65,1.418,1.0,0.4436,1.0,0.99719995,1.0,,0.0
-6.0,106.7,0.95159996,8.0,1.0337,8.0,1.008,1.0,,0.0
-6.0,106.75,0.9224,1.0,1.3506999,1.0,,0.0,,0.0
-6.0,106.8,0.9342,2.0,1.3718,2.0,,0.0,,0.0
-6.0,106.85,0.8772,3.0,1.3522999,3.0,,0.0,,0.0
-6.0,106.9,0.8876,4.0,1.3417,4.0,,0.0,,0.0
