latitude,longitude,AOT_L2_Mean,AOT_L2_Num,AE_L2_Mean,AE_L2_Num,AOT_L3_Merged_Mean,AOT_L3_Merged_Num,AE_L3_Merged_Mean,AE_L3_Merged_Num
-5.9000015,106.5,0.3904,24.0,1.1179999,24.0,0.3848,2.0,,0.0
-5.9000015,106.55,0.43519998,22.0,1.1295999,22.0,0.3918,2.0,,0.0
-5.9000015,106.6,0.3242,15.0,1.1223999,15.0,0.359,1.0,,0.0
-5.9000015,106.65,0.3748,15.0,1.1276,15.0,0.34379998,1.0,,0.0
-5.9000015,106.7,0.3714,13.0,1.1313,13.0,0.3522,1.0,,0.0
-5.9000015,106.75,0.4182,13.0,1.1358999,13.0,0.3442,1.0,,0.0
-5.9000015,106.8,0.3788,7.0,1.148,7.0,0.3446,1.0,,0.0
-5.9000015,106.85,0.4048,13.0,1.1214,13.0,0.3418,2.0,,0.0
-5.9000015,106.9,0.3552,18.0,1.1208999,18.0,0.3448,2.0,,0.0
-5.9000015,106.95,0.362,16.0,1.1342,16.0,0.3464,2.0,,0.0
-5.9000015,107.0,0.364,17.0,1.1198,17.0,0.3444,2.0,0.037800014,1.0
-5.9500046,106.5,0.399,19.0,1.0935999,19.0,0.4218,2.0,-0.0033000112,1.0
-5.9500046,106.55,0.3692,15.0,1.119,15.0,0.4252,2.0,0.288,1.0
-5.9500046,106.6,0.3672,12.0,1.1055,12.0,0.37039998,1.0,-0.4429,1.0
-5.9500046,106.65,0.39659998,10.0,1.1429,10.0,0.3548,1.0,,0.0
-5.9500046,106.7,0.35959998,8.0,1.1446999,8.0,0.3518,1.0,,0.0
-5.9500046,106.75,0.357,8.0,1.1327,8.0,0.3518,1.0,,0.0
-5.9500046,106.8,0.34919998,14.0,1.1359999,14.0,0.343,2.0,,0.0
-5.9500046,106.85,0.5096,16.0,1.1954,16.0,0.34739998,2.0,,0.0
-5.9500046,106.9,0.38259998,18.0,1.1509,18.0,0.3428,2.0,,0.0
-5.9500046,106.95,0.3958,17.0,1.1573,17.0,0.348,2.0,-0.3524,1.0
-5.9500046,107.0,0.543,11.0,1.0626999,11.0,0.3442,3.0,-0.057400018,1.0
-6.0,106.5,0.4748,16.0,1.1198,16.0,0.4554,2.0,-0.3021,1.0
-6.0,106.55,0.5688,15.0,1.1639999,15.0,0.47779998,2.0,,0.0
-6.0,106.6,0.5992,7.0,1.2487999,7.0,0.4488,2.0,,0.0
-6.0,106.65,0.631,6.0,0.9439,6.0,0.3576,1.0,,0.0
-6.0,106.7,0.42119998,21.0,1.1147,21.0,0.3496,1.0,,0.0
-6.0,106.75,0.2968,14.0,1.1312,14.0,0.3484,1.0,-0.3212,1.0
-6.0,106.8,0.32479998,17.0,1.1310999,17.0,0.3464,2.0,,0.0
-6.0,106.85,0.3324,17.0,1.1281999,17.0,0.3502,2.0,0.12729996,1.0
-6.0,106.9,0.37739998,16.0,1.1529,16.0,0.3506,2.0,-0.1801,1.0
-6.0,106.95,0.42279997,17.0,1.1841999,17.0,0.34399998,3.0,0.18259996,1.0
-6.0,107.0,0.1748,11.0,1.1146,11.0,0.32099998,2.0,,0.0
-6.050003,106.5,0.5476,24.0,0.9736999,24.0,0.4622,2.0,-0.35369998,1.0
-6.050003,106.55,0.7704,20.0,1.0679,20.0,0.4962,2.0,,0.0
-6.050003,106.6,1.0383999,17.0,0.8385,17.0,,0.0,,0.0
-6.050003,106.65,0.5466,23.0,0.9754,23.0,0.37359998,1.0,,0.0
-6.050003,106.7,0.6028,22.0,0.92499995,22.0,0.3442,1.0,,0.0
-6.050003,106.75,0.4066,20.0,1.1753999,20.0,0.34759998,1.0,,0.0
-6.050003,106.8,0.38779998,18.0,1.1281999,18.0,0.343,2.0,,0.0
-6.050003,106.85,0.3708,18.0,1.1249,18.0,0.34899998,2.0,,0.0
-6.050003,106.9,0.3868,17.0,1.1336,17.0,0.33519998,3.0,-0.07770002,2.0
-6.050003,106.95,0.41939998,16.0,1.1609,16.0,0.32119998,2.0,-0.3404,1.0
-6.050003,107.0,0.296,9.0,1.1744,9.0,0.2676,1.0,,0.0
-6.0999985,106.5,0.7364,27.0,0.9704,27.0,,0.0,,0.0
-6.0999985,106.55,0.6454,19.0,0.9935,19.0,,0.0,,0.0
-6.0999985,106.6,0.5384,17.0,1.1341,17.0,,0.0,,0.0
-6.0999985,106.65,0.46699998,10.0,1.1049,10.0,,0.0,,0.0
-6.0999985,106.7,0.412,25.0,1.0486,25.0,,0.0,,0.0
-6.0999985,106.75,0.2792,10.0,1.0862,10.0,,0.0,,0.0
-6.0999985,106.8,,0.0,,0.0,0.34899998,1.0,,0.0
-6.0999985,106.85,0.2818,3.0,1.0261999,3.0,0.345,2.0,,0.0
-6.0999985,106.9,0.7274,19.0,1.0302999,19.0,0.309,2.0,,0.0
-6.0999985,106.95,0.3412,10.0,1.1125,10.0,0.2546,1.0,,0.0
-6.0999985,107.0,0.42459998,19.0,1.0558,19.0,0.2356,1.0,,0.0
-6.1500015,106.5,0.4258,17.0,1.1219,17.0,,0.0,,0.0
-6.1500015,106.55,0.3536,7.0,1.0564,7.0,,0.0,,0.0
-6.1500015,106.6,0.1846,8.0,1.0752,8.0,,0.0,,0.0
-6.1500015,106.65,0.2572,8.0,1.0705999,8.0,,0.0,,0.0
-6.1500015,106.7,0.396,7.0,1.1465,7.0,,0.0,,0.0
-6.1500015,106.75,0.7474,17.0,1.0679,17.0,,0.0,,0.0
-6.1500015,106.8,0.1882,6.0,1.0932,6.0,,0.0,,0.0
