latitude,longitude,AOT_L2_Mean,AOT_L2_Num,AE_L2_Mean,AE_L2_Num,AOT_L3_Merged_Mean,AOT_L3_Merged_Num,AE_L3_Merged_Mean,AE_L3_Merged_Num
-5.9000015,106.5,0.6096,40.0,1.3008,40.0,0.61899996,7.0,0.87,2.0
-5.9000015,106.55,0.61539996,41.0,1.316,41.0,0.6724,5.0,0.8729,2.0
-5.9000015,106.6,0.6428,39.0,1.3133,39.0,0.70019996,5.0,0.306,1.0
-5.9000015,106.65,0.71059996,36.0,1.3472999,36.0,0.65459996,5.0,0.35819995,1.0
-5.9000015,106.7,0.72639996,43.0,1.3076999,43.0,0.6336,7.0,0.40069997,1.0
-5.9000015,106.75,0.6764,40.0,1.2939,40.0,0.5912,8.0,0.8931,8.0
-5.9000015,106.8,0.6642,43.0,1.2863,43.0,0.5966,8.0,0.8325,8.0
-5.9000015,106.85,0.6644,43.0,1.2943,43.0,0.61539996,8.0,0.8277999,8.0
-5.9000015,106.9,0.7044,45.0,1.3165,45.0,0.6374,8.0,1.1006999,8.0
-5.9000015,106.95,0.7402,45.0,1.3271999,45.0,0.65279996,8.0,0.9632,7.0
-5.9000015,107.0,0.79819995,46.0,1.3657999,46.0,0.6586,8.0,0.74529994,4.0
-5.9500046,106.5,0.67859995,38.0,1.3197999,38.0,0.61719996,7.0,0.8306,7.0
-5.9500046,106.55,0.6762,39.0,1.2979,39.0,0.634,7.0,0.7321,7.0
-5.9500046,106.6,0.80179995,33.0,1.3734,33.0,0.64199996,5.0,0.7832999,5.0
-5.9500046,106.65,0.773,37.0,1.3531,37.0,0.6562,6.0,0.8493999,5.0
-5.9500046,106.7,0.7676,39.0,1.3184999,39.0,0.6702,7.0,1.0695,7.0
-5.9500046,106.75,0.70919997,40.0,1.2883999,40.0,0.6694,7.0,1.1001999,7.0
-5.9500046,106.8,0.7212,42.0,1.2964,42.0,0.67719996,7.0,0.88189995,6.0
-5.9500046,106.85,0.81759995,41.0,1.3140999,41.0,0.6938,7.0,0.77259994,3.0
-5.9500046,106.9,0.75979996,42.0,1.3163999,42.0,0.706,7.0,1.0605999,7.0
-5.9500046,106.95,0.81659997,43.0,1.3400999,43.0,0.7298,7.0,1.0307,5.0
-5.9500046,107.0,1.0866,39.0,1.3012999,39.0,0.69479996,8.0,,0.0
-6.0,106.5,0.7536,37.0,1.3208,37.0,0.60679996,7.0,0.9275,4.0
-6.0,106.55,0.80439997,33.0,1.3196,33.0,0.62939996,7.0,0.40069997,3.0
-6.0,106.6,0.93539995,35.0,1.3223,35.0,0.6454,5.0,0.18629998,2.0
-6.0,106.65,0.926,33.0,1.0379,33.0,0.6512,6.0,-0.07520002,1.0
-6.0,106.7,0.85719997,40.0,1.3241999,40.0,0.6698,7.0,0.44269997,4.0
-6.0,106.75,0.803,37.0,1.2887,37.0,0.6258,6.0,0.9979,6.0
